Código ATICA,Tienda,Código EST,Sección,Demarca Controlada,Demarca Incontrolada
5417,"Ctra General 2, El crucero",5166,61,0.00,0.00
5417,"Ctra General 2, El crucero",5166,62,0.00,0.00
5417,"Ctra General 2, El crucero",5166,63,0.00,0.00
5417,"Ctra General 2, El crucero",5166,64,0.00,0.00
5417,"Ctra General 2, El crucero",5166,65,0.00,0.00
5417,"Ctra General 2, El crucero",5166,67,0.00,0.00
5419,"Calle Villajoyoya, 87",5167,10,8.62,54.20
5419,"Calle Villajoyoya, 87",5167,11,0.00,50.71
5419,"Calle Villajoyoya, 87",5167,14,57.08,101.22
5419,"Calle Villajoyoya, 87",5167,15,373.73,82.62
5419,"Calle Villajoyoya, 87",5167,20,40.63,14.98
5419,"Calle Villajoyoya, 87",5167,21,0.00,2.61
5419,"Calle Villajoyoya, 87",5167,22,453.76,64.15
5419,"Calle Villajoyoya, 87",5167,23,199.98,86.98
5419,"Calle Villajoyoya, 87",5167,24,197.70,14.98
5419,"Calle Villajoyoya, 87",5167,26,80.90,10.66
5419,"Calle Villajoyoya, 87",5167,30,0.00,0.00
5419,"Calle Villajoyoya, 87",5167,31,0.06,0.00
5419,"Calle Villajoyoya, 87",5167,32,0.00,0.00
5419,"Calle Villajoyoya, 87",5167,33,0.00,0.00
5419,"Calle Villajoyoya, 87",5167,34,33.03,0.00
5419,"Calle Villajoyoya, 87",5167,45,0.00,0.00
5419,"Calle Villajoyoya, 87",5167,65,0.00,0.00
5489,Avda. Manuel Candela 56,5186,10,2.52,76.39
5489,Avda. Manuel Candela 56,5186,11,0.00,50.03
5489,Avda. Manuel Candela 56,5186,14,44.73,121.51
5489,Avda. Manuel Candela 56,5186,15,289.67,86.70
5489,Avda. Manuel Candela 56,5186,20,34.90,16.08
5489,Avda. Manuel Candela 56,5186,21,0.00,1.64
5489,Avda. Manuel Candela 56,5186,22,537.92,61.84
5489,Avda. Manuel Candela 56,5186,23,108.33,77.44
5489,Avda. Manuel Candela 56,5186,24,208.24,10.43
5489,Avda. Manuel Candela 56,5186,26,82.71,15.51
5489,Avda. Manuel Candela 56,5186,30,0.00,0.00
5489,Avda. Manuel Candela 56,5186,31,0.00,0.00
5489,Avda. Manuel Candela 56,5186,32,0.00,0.00
5489,Avda. Manuel Candela 56,5186,33,0.00,0.00
5489,Avda. Manuel Candela 56,5186,34,0.00,0.00
5489,Avda. Manuel Candela 56,5186,35,0.00,0.00
5489,Avda. Manuel Candela 56,5186,43,0.00,0.00
5489,Avda. Manuel Candela 56,5186,45,0.00,0.00
5489,Avda. Manuel Candela 56,5186,61,0.00,0.00
5490,"Calle Aguado, 29",5187,10,7.90,53.75
5490,"Calle Aguado, 29",5187,11,88.94,50.76
5490,"Calle Aguado, 29",5187,14,185.43,107.65
5490,"Calle Aguado, 29",5187,15,651.88,77.40
5490,"Calle Aguado, 29",5187,20,61.83,17.70
5490,"Calle Aguado, 29",5187,21,15.79,1.57
5490,"Calle Aguado, 29",5187,22,445.23,90.98
5490,"Calle Aguado, 29",5187,23,202.87,115.08
5490,"Calle Aguado, 29",5187,24,355.37,9.94
5490,"Calle Aguado, 29",5187,26,45.86,10.50
5490,"Calle Aguado, 29",5187,30,0.00,0.00
5490,"Calle Aguado, 29",5187,31,0.00,0.00
5490,"Calle Aguado, 29",5187,32,0.00,0.00
5490,"Calle Aguado, 29",5187,33,0.00,0.00
5490,"Calle Aguado, 29",5187,34,0.00,0.00
5490,"Calle Aguado, 29",5187,45,0.00,0.00
5490,"Calle Aguado, 29",5187,61,0.00,0.00
5490,"Calle Aguado, 29",5187,67,0.00,0.00
5505,"Calle Francesc Artau, 2",5197,10,60.21,52.93
5505,"Calle Francesc Artau, 2",5197,11,20.74,54.58
5505,"Calle Francesc Artau, 2",5197,14,168.35,111.31
5505,"Calle Francesc Artau, 2",5197,15,525.36,68.97
5505,"Calle Francesc Artau, 2",5197,20,32.51,10.26
5505,"Calle Francesc Artau, 2",5197,21,49.76,1.19
5505,"Calle Francesc Artau, 2",5197,22,61.73,47.73
5505,"Calle Francesc Artau, 2",5197,23,46.95,49.85
5505,"Calle Francesc Artau, 2",5197,24,313.59,7.71
5505,"Calle Francesc Artau, 2",5197,26,38.32,7.44
5505,"Calle Francesc Artau, 2",5197,30,0.00,0.00
5505,"Calle Francesc Artau, 2",5197,31,0.00,0.00
5505,"Calle Francesc Artau, 2",5197,32,0.00,0.00
5505,"Calle Francesc Artau, 2",5197,33,0.00,0.00
5505,"Calle Francesc Artau, 2",5197,34,12.60,0.00
5505,"Calle Francesc Artau, 2",5197,35,0.00,0.00
5505,"Calle Francesc Artau, 2",5197,43,0.00,0.00
5505,"Calle Francesc Artau, 2",5197,45,0.00,0.00
5520,"C/ Cervantes, 89-91",5201,10,138.28,82.50
5520,"C/ Cervantes, 89-91",5201,11,15.07,101.60
5520,"C/ Cervantes, 89-91",5201,13,0.00,0.00
5520,"C/ Cervantes, 89-91",5201,14,178.31,192.19
5520,"C/ Cervantes, 89-91",5201,15,539.56,134.15
5520,"C/ Cervantes, 89-91",5201,20,65.88,29.00
5520,"C/ Cervantes, 89-91",5201,21,85.11,92.62
5520,"C/ Cervantes, 89-91",5201,22,757.17,137.56
5520,"C/ Cervantes, 89-91",5201,23,174.71,45.55
5520,"C/ Cervantes, 89-91",5201,24,40.72,11.98
5520,"C/ Cervantes, 89-91",5201,26,93.53,10.66
5520,"C/ Cervantes, 89-91",5201,30,0.00,0.00
5520,"C/ Cervantes, 89-91",5201,31,3.66,0.00
5520,"C/ Cervantes, 89-91",5201,32,0.00,0.00
5520,"C/ Cervantes, 89-91",5201,33,0.00,0.00
5520,"C/ Cervantes, 89-91",5201,34,0.00,0.00
5520,"C/ Cervantes, 89-91",5201,45,0.00,0.00
5535,"Calle de la Ginesta, 3",5206,11,0.00,0.00
5535,"Calle de la Ginesta, 3",5206,14,0.00,0.00
5535,"Calle de la Ginesta, 3",5206,22,0.00,0.00
5535,"Calle de la Ginesta, 3",5206,23,0.00,0.00
5535,"Calle de la Ginesta, 3",5206,24,0.00,0.00
5542,Calle Donantes de Sangre 21,5213,10,17.22,45.22
5542,Calle Donantes de Sangre 21,5213,11,3.98,30.13
5542,Calle Donantes de Sangre 21,5213,14,87.93,82.30
5542,Calle Donantes de Sangre 21,5213,15,421.79,54.12
5542,Calle Donantes de Sangre 21,5213,20,73.14,9.32
5542,Calle Donantes de Sangre 21,5213,21,33.38,1.90
5542,Calle Donantes de Sangre 21,5213,22,333.60,53.30
5542,Calle Donantes de Sangre 21,5213,23,66.87,46.35
5542,Calle Donantes de Sangre 21,5213,24,169.03,8.91
5542,Calle Donantes de Sangre 21,5213,26,55.65,4.67
5542,Calle Donantes de Sangre 21,5213,30,0.00,0.00
5542,Calle Donantes de Sangre 21,5213,31,0.00,0.00
5542,Calle Donantes de Sangre 21,5213,32,0.00,0.00
5542,Calle Donantes de Sangre 21,5213,33,0.00,0.00
5542,Calle Donantes de Sangre 21,5213,34,23.37,0.00
5542,Calle Donantes de Sangre 21,5213,45,0.00,0.00
5569,"Calle Gerona, 15",5237,10,29.87,54.33
5569,"Calle Gerona, 15",5237,11,7.21,51.97
5569,"Calle Gerona, 15",5237,13,0.00,0.00
5569,"Calle Gerona, 15",5237,14,145.68,108.93
5569,"Calle Gerona, 15",5237,15,257.61,71.06
5569,"Calle Gerona, 15",5237,20,53.63,15.81
5569,"Calle Gerona, 15",5237,21,2.77,2.53
5569,"Calle Gerona, 15",5237,22,526.71,44.68
5569,"Calle Gerona, 15",5237,23,103.71,58.55
5569,"Calle Gerona, 15",5237,24,378.71,6.16
5569,"Calle Gerona, 15",5237,26,33.69,8.34
5569,"Calle Gerona, 15",5237,30,0.00,0.00
5569,"Calle Gerona, 15",5237,31,0.00,0.00
5569,"Calle Gerona, 15",5237,32,0.00,0.00
5569,"Calle Gerona, 15",5237,33,0.00,0.00
5569,"Calle Gerona, 15",5237,34,0.00,0.00
5569,"Calle Gerona, 15",5237,45,0.00,0.00
5571,Calle Marques de San Esteban 12,5239,10,4.73,51.35
5571,Calle Marques de San Esteban 12,5239,11,1.42,31.02
5571,Calle Marques de San Esteban 12,5239,14,73.95,78.46
5571,Calle Marques de San Esteban 12,5239,15,309.10,51.93
5571,Calle Marques de San Esteban 12,5239,20,8.16,12.17
5571,Calle Marques de San Esteban 12,5239,21,299.42,2.80
5571,Calle Marques de San Esteban 12,5239,22,237.90,46.27
5571,Calle Marques de San Esteban 12,5239,23,396.39,77.80
5571,Calle Marques de San Esteban 12,5239,24,89.14,4.78
5571,Calle Marques de San Esteban 12,5239,26,21.13,9.22
5571,Calle Marques de San Esteban 12,5239,30,0.00,0.00
5571,Calle Marques de San Esteban 12,5239,31,5.24,0.00
5571,Calle Marques de San Esteban 12,5239,32,0.00,0.00
5571,Calle Marques de San Esteban 12,5239,33,0.00,0.00
5571,Calle Marques de San Esteban 12,5239,34,0.73,0.00
5571,Calle Marques de San Esteban 12,5239,35,0.00,0.00
5571,Calle Marques de San Esteban 12,5239,45,0.00,0.00
5626,AV DE ANDALUCIA 10,5286,10,6.63,51.03
5626,AV DE ANDALUCIA 10,5286,11,20.59,25.20
5626,AV DE ANDALUCIA 10,5286,13,0.00,0.00
5626,AV DE ANDALUCIA 10,5286,14,30.40,80.49
5626,AV DE ANDALUCIA 10,5286,15,88.63,58.16
5626,AV DE ANDALUCIA 10,5286,20,6.04,14.60
5626,AV DE ANDALUCIA 10,5286,21,5.12,1.73
5626,AV DE ANDALUCIA 10,5286,22,316.91,50.57
5626,AV DE ANDALUCIA 10,5286,23,85.74,57.05
5626,AV DE ANDALUCIA 10,5286,24,93.78,9.79
5626,AV DE ANDALUCIA 10,5286,26,0.00,8.53
5626,AV DE ANDALUCIA 10,5286,30,0.00,0.00
5626,AV DE ANDALUCIA 10,5286,31,0.00,0.00
5626,AV DE ANDALUCIA 10,5286,33,0.00,0.00
5626,AV DE ANDALUCIA 10,5286,34,0.00,0.00
5626,AV DE ANDALUCIA 10,5286,45,0.00,0.00
5644,Plaza de la Merced,5302,10,27.15,219.34
5644,Plaza de la Merced,5302,11,7.90,110.20
5644,Plaza de la Merced,5302,13,0.00,0.00
5644,Plaza de la Merced,5302,14,42.80,287.61
5644,Plaza de la Merced,5302,15,281.32,148.64
5644,Plaza de la Merced,5302,20,19.65,44.37
5644,Plaza de la Merced,5302,21,12.79,2.39
5644,Plaza de la Merced,5302,22,298.50,179.35
5644,Plaza de la Merced,5302,23,215.49,167.14
5644,Plaza de la Merced,5302,24,63.17,12.78
5644,Plaza de la Merced,5302,26,32.46,25.35
5644,Plaza de la Merced,5302,30,0.00,0.00
5644,Plaza de la Merced,5302,31,0.58,0.00
5644,Plaza de la Merced,5302,32,0.00,0.00
5644,Plaza de la Merced,5302,33,13.62,0.00
5644,Plaza de la Merced,5302,34,0.00,0.00
5644,Plaza de la Merced,5302,40,0.00,0.00
5644,Plaza de la Merced,5302,41,0.00,0.00
5644,Plaza de la Merced,5302,44,0.00,0.00
5644,Plaza de la Merced,5302,61,0.00,0.00
5644,Plaza de la Merced,5302,67,0.00,0.00
5660,Francesc layret 128,5315,10,6.10,77.00
5660,Francesc layret 128,5315,11,3.77,47.89
5660,Francesc layret 128,5315,14,1.24,114.22
5660,Francesc layret 128,5315,15,125.64,85.00
5660,Francesc layret 128,5315,20,14.09,13.85
5660,Francesc layret 128,5315,21,4.06,1.41
5660,Francesc layret 128,5315,22,357.64,87.09
5660,Francesc layret 128,5315,23,0.00,44.84
5660,Francesc layret 128,5315,24,69.38,19.31
5660,Francesc layret 128,5315,26,0.00,5.59
5660,Francesc layret 128,5315,30,0.00,0.00
5660,Francesc layret 128,5315,31,0.00,0.00
5660,Francesc layret 128,5315,32,0.00,0.00
5660,Francesc layret 128,5315,33,0.00,0.00
5660,Francesc layret 128,5315,34,0.00,0.00
5660,Francesc layret 128,5315,45,0.00,0.00
5667,Calle Santa Engracia 115,5322,10,104.49,57.36
5667,Calle Santa Engracia 115,5322,11,20.05,74.04
5667,Calle Santa Engracia 115,5322,14,264.27,134.82
5667,Calle Santa Engracia 115,5322,15,914.29,89.69
5667,Calle Santa Engracia 115,5322,20,129.29,19.22
5667,Calle Santa Engracia 115,5322,21,35.62,4.15
5667,Calle Santa Engracia 115,5322,22,418.87,69.34
5667,Calle Santa Engracia 115,5322,23,377.50,49.76
5667,Calle Santa Engracia 115,5322,24,112.46,8.41
5667,Calle Santa Engracia 115,5322,26,136.12,25.27
5667,Calle Santa Engracia 115,5322,30,0.00,0.00
5667,Calle Santa Engracia 115,5322,31,0.06,0.00
5667,Calle Santa Engracia 115,5322,32,0.34,0.00
5667,Calle Santa Engracia 115,5322,33,0.00,0.00
5667,Calle Santa Engracia 115,5322,34,23.96,0.00
5667,Calle Santa Engracia 115,5322,41,0.00,0.00
5667,Calle Santa Engracia 115,5322,45,0.00,0.00
5667,Calle Santa Engracia 115,5322,62,0.00,0.00
5667,Calle Santa Engracia 115,5322,63,0.00,0.00
5720,AVENIDA CABO DE GATA 86,5368,10,4.50,57.99
5720,AVENIDA CABO DE GATA 86,5368,11,3.62,45.90
5720,AVENIDA CABO DE GATA 86,5368,14,25.61,90.64
5720,AVENIDA CABO DE GATA 86,5368,15,459.87,72.87
5720,AVENIDA CABO DE GATA 86,5368,20,33.88,20.27
5720,AVENIDA CABO DE GATA 86,5368,21,0.00,1.40
5720,AVENIDA CABO DE GATA 86,5368,22,545.98,60.12
5720,AVENIDA CABO DE GATA 86,5368,23,279.47,93.24
5720,AVENIDA CABO DE GATA 86,5368,24,317.32,10.22
5720,AVENIDA CABO DE GATA 86,5368,26,57.30,7.65
5720,AVENIDA CABO DE GATA 86,5368,30,0.00,0.00
5720,AVENIDA CABO DE GATA 86,5368,31,0.00,0.00
5720,AVENIDA CABO DE GATA 86,5368,32,0.00,0.00
5720,AVENIDA CABO DE GATA 86,5368,33,0.00,0.00
5720,AVENIDA CABO DE GATA 86,5368,34,0.00,0.00
5720,AVENIDA CABO DE GATA 86,5368,35,0.00,0.00
5720,AVENIDA CABO DE GATA 86,5368,45,0.00,0.00
5722,Calle Caravel.la S/N,5370,10,4.27,69.41
5722,Calle Caravel.la S/N,5370,11,2.05,17.57
5722,Calle Caravel.la S/N,5370,14,37.51,56.10
5722,Calle Caravel.la S/N,5370,15,422.17,27.38
5722,Calle Caravel.la S/N,5370,20,35.75,7.00
5722,Calle Caravel.la S/N,5370,21,74.19,0.24
5722,Calle Caravel.la S/N,5370,22,649.83,27.05
5722,Calle Caravel.la S/N,5370,23,351.88,48.10
5722,Calle Caravel.la S/N,5370,24,71.35,0.87
5722,Calle Caravel.la S/N,5370,26,55.16,7.54
5722,Calle Caravel.la S/N,5370,30,0.00,0.00
5722,Calle Caravel.la S/N,5370,31,0.00,0.00
5722,Calle Caravel.la S/N,5370,32,0.00,0.00
5722,Calle Caravel.la S/N,5370,33,0.00,0.00
5722,Calle Caravel.la S/N,5370,34,0.00,0.00
5722,Calle Caravel.la S/N,5370,43,0.00,0.00
5722,Calle Caravel.la S/N,5370,45,0.00,0.00
5722,Calle Caravel.la S/N,5370,67,0.00,0.00
5726,"Calle Estepona 2, (Plaza de la Iglesia 1)",5374,10,44.74,57.96
5726,"Calle Estepona 2, (Plaza de la Iglesia 1)",5374,11,4.88,32.53
5726,"Calle Estepona 2, (Plaza de la Iglesia 1)",5374,14,8.45,86.48
5726,"Calle Estepona 2, (Plaza de la Iglesia 1)",5374,15,2.33,56.32
5726,"Calle Estepona 2, (Plaza de la Iglesia 1)",5374,20,45.72,10.93
5726,"Calle Estepona 2, (Plaza de la Iglesia 1)",5374,21,0.00,1.10
5726,"Calle Estepona 2, (Plaza de la Iglesia 1)",5374,22,219.16,51.45
5726,"Calle Estepona 2, (Plaza de la Iglesia 1)",5374,23,131.76,53.42
5726,"Calle Estepona 2, (Plaza de la Iglesia 1)",5374,24,226.84,10.14
5726,"Calle Estepona 2, (Plaza de la Iglesia 1)",5374,26,42.17,5.40
5726,"Calle Estepona 2, (Plaza de la Iglesia 1)",5374,30,0.00,0.00
5726,"Calle Estepona 2, (Plaza de la Iglesia 1)",5374,31,0.00,0.00
5726,"Calle Estepona 2, (Plaza de la Iglesia 1)",5374,32,0.00,0.00
5726,"Calle Estepona 2, (Plaza de la Iglesia 1)",5374,33,0.00,0.00
5726,"Calle Estepona 2, (Plaza de la Iglesia 1)",5374,34,0.00,0.00
5726,"Calle Estepona 2, (Plaza de la Iglesia 1)",5374,45,0.00,0.00
5731,"Calle Marqués de la Hermida, 14,",5379,10,16.22,33.91
5731,"Calle Marqués de la Hermida, 14,",5379,11,19.51,31.89
5731,"Calle Marqués de la Hermida, 14,",5379,14,69.26,92.60
5731,"Calle Marqués de la Hermida, 14,",5379,15,752.04,55.02
5731,"Calle Marqués de la Hermida, 14,",5379,20,73.72,11.38
5731,"Calle Marqués de la Hermida, 14,",5379,21,9.18,1.30
5731,"Calle Marqués de la Hermida, 14,",5379,22,347.11,39.17
5731,"Calle Marqués de la Hermida, 14,",5379,23,358.56,52.70
5731,"Calle Marqués de la Hermida, 14,",5379,24,149.50,5.95
5731,"Calle Marqués de la Hermida, 14,",5379,26,74.81,7.54
5731,"Calle Marqués de la Hermida, 14,",5379,30,0.00,0.00
5731,"Calle Marqués de la Hermida, 14,",5379,31,6.64,0.00
5731,"Calle Marqués de la Hermida, 14,",5379,32,0.00,0.00
5731,"Calle Marqués de la Hermida, 14,",5379,33,0.00,0.00
5731,"Calle Marqués de la Hermida, 14,",5379,34,0.00,0.00
5731,"Calle Marqués de la Hermida, 14,",5379,35,0.00,0.00
5731,"Calle Marqués de la Hermida, 14,",5379,45,0.00,0.00
5743,"C/ Narcís Monturiol,72-74",5389,10,13.24,88.36
5743,"C/ Narcís Monturiol,72-74",5389,11,39.76,63.73
5743,"C/ Narcís Monturiol,72-74",5389,14,197.83,154.48
5743,"C/ Narcís Monturiol,72-74",5389,15,133.94,119.86
5743,"C/ Narcís Monturiol,72-74",5389,20,105.98,25.11
5743,"C/ Narcís Monturiol,72-74",5389,21,52.54,4.36
5743,"C/ Narcís Monturiol,72-74",5389,22,799.68,83.02
5743,"C/ Narcís Monturiol,72-74",5389,23,25.54,81.28
5743,"C/ Narcís Monturiol,72-74",5389,24,307.03,17.12
5743,"C/ Narcís Monturiol,72-74",5389,26,22.51,11.64
5743,"C/ Narcís Monturiol,72-74",5389,30,0.00,0.00
5743,"C/ Narcís Monturiol,72-74",5389,31,12.32,0.00
5743,"C/ Narcís Monturiol,72-74",5389,32,0.00,0.00
5743,"C/ Narcís Monturiol,72-74",5389,33,0.52,0.00
5743,"C/ Narcís Monturiol,72-74",5389,34,56.20,0.00
5743,"C/ Narcís Monturiol,72-74",5389,35,0.00,0.00
5748,CALLE RAMON Y CAJAL 48,5394,10,5.66,74.08
5748,CALLE RAMON Y CAJAL 48,5394,11,17.79,60.84
5748,CALLE RAMON Y CAJAL 48,5394,14,36.84,149.35
5748,CALLE RAMON Y CAJAL 48,5394,15,285.88,101.36
5748,CALLE RAMON Y CAJAL 48,5394,20,89.00,24.15
5748,CALLE RAMON Y CAJAL 48,5394,21,0.00,1.90
5748,CALLE RAMON Y CAJAL 48,5394,22,365.34,102.11
5748,CALLE RAMON Y CAJAL 48,5394,23,246.23,126.11
5748,CALLE RAMON Y CAJAL 48,5394,24,65.17,14.76
5748,CALLE RAMON Y CAJAL 48,5394,26,189.13,16.95
5748,CALLE RAMON Y CAJAL 48,5394,30,0.59,0.00
5748,CALLE RAMON Y CAJAL 48,5394,31,8.83,0.00
5748,CALLE RAMON Y CAJAL 48,5394,32,0.00,0.00
5748,CALLE RAMON Y CAJAL 48,5394,33,0.00,0.00
5748,CALLE RAMON Y CAJAL 48,5394,34,1.80,0.00
5748,CALLE RAMON Y CAJAL 48,5394,35,0.00,0.00
5748,CALLE RAMON Y CAJAL 48,5394,45,0.00,0.00
5757,"Camí Ral, 156",5402,10,0.00,13.75
5757,"Camí Ral, 156",5402,11,0.00,15.22
5757,"Camí Ral, 156",5402,14,0.00,47.02
5757,"Camí Ral, 156",5402,15,0.00,34.25
5757,"Camí Ral, 156",5402,20,0.00,7.24
5757,"Camí Ral, 156",5402,21,0.00,0.49
5757,"Camí Ral, 156",5402,22,0.00,4.07
5757,"Camí Ral, 156",5402,23,0.00,3.32
5757,"Camí Ral, 156",5402,24,0.00,1.75
5757,"Camí Ral, 156",5402,26,0.00,0.92
5757,"Camí Ral, 156",5402,31,0.00,0.00
5757,"Camí Ral, 156",5402,33,0.00,0.00
5757,"Camí Ral, 156",5402,34,0.00,0.00
5757,"Camí Ral, 156",5402,35,0.00,0.00
5764,"AV. JUAN CARLOS I, 12",5409,10,522.00,39.91
5764,"AV. JUAN CARLOS I, 12",5409,11,204.85,48.94
5764,"AV. JUAN CARLOS I, 12",5409,14,747.74,94.72
5764,"AV. JUAN CARLOS I, 12",5409,15,791.99,67.17
5764,"AV. JUAN CARLOS I, 12",5409,20,152.16,15.22
5764,"AV. JUAN CARLOS I, 12",5409,21,14.52,2.24
5764,"AV. JUAN CARLOS I, 12",5409,22,44.69,64.27
5764,"AV. JUAN CARLOS I, 12",5409,23,244.83,63.79
5764,"AV. JUAN CARLOS I, 12",5409,24,43.17,8.66
5764,"AV. JUAN CARLOS I, 12",5409,26,60.61,6.16
5764,"AV. JUAN CARLOS I, 12",5409,30,0.00,0.00
5764,"AV. JUAN CARLOS I, 12",5409,31,14.64,0.00
5764,"AV. JUAN CARLOS I, 12",5409,33,0.64,0.00
5764,"AV. JUAN CARLOS I, 12",5409,34,76.30,0.00
5786,"AV PICASSO, 2",5430,10,27.45,118.26
5786,"AV PICASSO, 2",5430,11,0.56,53.39
5786,"AV PICASSO, 2",5430,13,0.00,0.00
5786,"AV PICASSO, 2",5430,14,201.44,132.58
5786,"AV PICASSO, 2",5430,15,1243.60,91.85
5786,"AV PICASSO, 2",5430,20,84.54,23.94
5786,"AV PICASSO, 2",5430,21,60.26,1.98
5786,"AV PICASSO, 2",5430,22,1224.47,94.80
5786,"AV PICASSO, 2",5430,23,236.12,102.87
5786,"AV PICASSO, 2",5430,24,693.61,7.39
5786,"AV PICASSO, 2",5430,26,108.63,13.05
5786,"AV PICASSO, 2",5430,30,0.00,0.00
5786,"AV PICASSO, 2",5430,31,1.04,0.00
5786,"AV PICASSO, 2",5430,32,0.00,0.00
5786,"AV PICASSO, 2",5430,33,0.00,0.00
5786,"AV PICASSO, 2",5430,34,29.72,0.00
5786,"AV PICASSO, 2",5430,45,0.00,0.00
5793,"Av. Garraf,63",5437,10,3.59,75.23
5793,"Av. Garraf,63",5437,11,13.50,43.98
5793,"Av. Garraf,63",5437,14,94.09,107.17
5793,"Av. Garraf,63",5437,15,1668.44,96.78
5793,"Av. Garraf,63",5437,20,92.72,16.17
5793,"Av. Garraf,63",5437,21,74.87,2.69
5793,"Av. Garraf,63",5437,22,479.41,58.55
5793,"Av. Garraf,63",5437,23,336.91,45.26
5793,"Av. Garraf,63",5437,24,286.59,9.80
5793,"Av. Garraf,63",5437,26,173.99,7.95
5793,"Av. Garraf,63",5437,30,0.00,0.00
5793,"Av. Garraf,63",5437,31,12.06,0.00
5793,"Av. Garraf,63",5437,32,0.00,0.00
5793,"Av. Garraf,63",5437,33,0.00,0.00
5793,"Av. Garraf,63",5437,34,3.66,0.00
5793,"Av. Garraf,63",5437,45,0.00,0.00
5799,"C/ Joan Maragall,29",5443,10,43.49,28.48
5799,"C/ Joan Maragall,29",5443,11,5.87,28.54
5799,"C/ Joan Maragall,29",5443,14,104.84,51.16
5799,"C/ Joan Maragall,29",5443,15,589.19,46.30
5799,"C/ Joan Maragall,29",5443,20,78.55,5.61
5799,"C/ Joan Maragall,29",5443,21,0.00,0.48
5799,"C/ Joan Maragall,29",5443,22,259.23,10.79
5799,"C/ Joan Maragall,29",5443,23,46.43,11.33
5799,"C/ Joan Maragall,29",5443,24,104.19,1.81
5799,"C/ Joan Maragall,29",5443,26,44.26,2.48
5799,"C/ Joan Maragall,29",5443,30,0.00,0.00
5799,"C/ Joan Maragall,29",5443,31,0.00,0.00
5799,"C/ Joan Maragall,29",5443,32,0.00,0.00
5799,"C/ Joan Maragall,29",5443,33,0.00,0.00
5799,"C/ Joan Maragall,29",5443,34,0.00,0.00
5799,"C/ Joan Maragall,29",5443,41,0.00,0.00
5812,"C/ AUGUSTO SUARES DE FIGUEROA, 6",5456,10,12.65,75.68
5812,"C/ AUGUSTO SUARES DE FIGUEROA, 6",5456,11,9.40,50.02
5812,"C/ AUGUSTO SUARES DE FIGUEROA, 6",5456,14,217.46,109.01
5812,"C/ AUGUSTO SUARES DE FIGUEROA, 6",5456,15,433.54,79.52
5812,"C/ AUGUSTO SUARES DE FIGUEROA, 6",5456,20,51.69,17.44
5812,"C/ AUGUSTO SUARES DE FIGUEROA, 6",5456,21,14.61,1.56
5812,"C/ AUGUSTO SUARES DE FIGUEROA, 6",5456,22,259.14,68.32
5812,"C/ AUGUSTO SUARES DE FIGUEROA, 6",5456,23,249.76,60.22
5812,"C/ AUGUSTO SUARES DE FIGUEROA, 6",5456,24,144.09,8.83
5812,"C/ AUGUSTO SUARES DE FIGUEROA, 6",5456,26,5.54,8.30
5812,"C/ AUGUSTO SUARES DE FIGUEROA, 6",5456,30,0.00,0.00
5812,"C/ AUGUSTO SUARES DE FIGUEROA, 6",5456,31,0.00,0.00
5812,"C/ AUGUSTO SUARES DE FIGUEROA, 6",5456,32,0.00,0.00
5812,"C/ AUGUSTO SUARES DE FIGUEROA, 6",5456,33,0.00,0.00
5812,"C/ AUGUSTO SUARES DE FIGUEROA, 6",5456,34,0.00,0.00
5812,"C/ AUGUSTO SUARES DE FIGUEROA, 6",5456,43,0.00,0.00
5812,"C/ AUGUSTO SUARES DE FIGUEROA, 6",5456,45,0.00,0.00
5813,"C/ OMS, 35",5457,10,0.00,95.54
5813,"C/ OMS, 35",5457,11,0.00,67.91
5813,"C/ OMS, 35",5457,14,0.00,155.14
5813,"C/ OMS, 35",5457,15,0.00,92.10
5813,"C/ OMS, 35",5457,20,0.00,20.31
5813,"C/ OMS, 35",5457,21,0.00,2.24
5813,"C/ OMS, 35",5457,22,0.00,92.69
5813,"C/ OMS, 35",5457,23,0.00,71.16
5813,"C/ OMS, 35",5457,24,0.00,12.23
5813,"C/ OMS, 35",5457,26,2.72,12.08
5813,"C/ OMS, 35",5457,30,0.00,0.00
5813,"C/ OMS, 35",5457,31,0.00,0.00
5813,"C/ OMS, 35",5457,32,0.00,0.00
5813,"C/ OMS, 35",5457,33,0.00,0.00
5813,"C/ OMS, 35",5457,34,0.00,0.00
5813,"C/ OMS, 35",5457,35,0.00,0.00
5813,"C/ OMS, 35",5457,45,0.00,0.00
5813,"C/ OMS, 35",5457,65,0.00,0.00
5825,PLAZA PAZ 8,5468,10,8.28,47.01
5825,PLAZA PAZ 8,5468,11,16.56,38.44
5825,PLAZA PAZ 8,5468,13,0.00,0.00
5825,PLAZA PAZ 8,5468,14,61.47,86.22
5825,PLAZA PAZ 8,5468,15,649.40,62.90
5825,PLAZA PAZ 8,5468,20,8.07,10.28
5825,PLAZA PAZ 8,5468,21,21.03,2.20
5825,PLAZA PAZ 8,5468,22,270.41,43.13
5825,PLAZA PAZ 8,5468,23,62.20,95.29
5825,PLAZA PAZ 8,5468,24,358.03,6.91
5825,PLAZA PAZ 8,5468,26,84.19,8.63
5825,PLAZA PAZ 8,5468,30,0.00,0.00
5825,PLAZA PAZ 8,5468,31,0.71,0.00
5825,PLAZA PAZ 8,5468,33,0.00,0.00
5825,PLAZA PAZ 8,5468,34,3.15,0.00
5825,PLAZA PAZ 8,5468,45,0.00,0.00
5833,"CALLE PILOÑA, 31",5471,10,371.13,21.31
