FECAPU,CUEAPU,CONAPU,IMPAPU,IMEAPU,D-HAPU,DEPAPU,Mes,Año,Franquiciado
2025-01-05,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000236",6036.23,6036.23,H,5742,1,2025,319
2025-01-05,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000237",-18.89,-18.89,H,5742,1,2025,319
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001734",8827.39,8827.39,H,5742,1,2025,319
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001735",3262.76,3262.76,H,5742,1,2025,319
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001736",-145.81,-145.81,H,5742,1,2025,319
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004780",2377.56,2377.56,H,5742,1,2025,319
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004781",7454.36,7454.36,H,5742,1,2025,319
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004782",6521.43,6521.43,H,5742,1,2025,319
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004783",-16.85,-16.85,H,5742,1,2025,319
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004784",-31.05,-31.05,H,5742,1,2025,319
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008074",4508.75,4508.75,H,5742,1,2025,319
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008075",7814.97,7814.97,H,5742,1,2025,319
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008076",-39.22,-39.22,H,5742,1,2025,319
2025-01-28,4000001,INCENTIVOS POR TASA DE INTEGRACION 12/2024 SEC 11,-3353.99,-3353.99,H,5742,1,2025,319
2025-01-29,4000001,RAPPEL MENSUAL 12/2024 SEC 11 TDA 6234 IVA SUPERRE,-2.94,-2.94,H,5742,1,2025,319
2025-01-29,4000001,RAPPEL MENSUAL 12/2024 SEC 10 TDA 6234 IVA REDUCID,-193.41,-193.41,H,5742,1,2025,319
2025-01-29,4000001,RAPPEL MENSUAL 12/2024 SEC 10 TDA 6234 IVA GENERAL,-263.32,-263.32,H,5742,1,2025,319
2025-01-29,4000001,RAPPEL MENSUAL 12/2024 SEC 10 TDA 6234 IVA 2%,-20.28,-20.28,H,5742,1,2025,319
2025-01-30,4000001,INCENTIVOS POR CORRECTA SEÑALIZACIÓN 12/2024 SEC 1,-273.22,-273.22,H,5742,1,2025,319
2025-01-30,4000001,INCENTIVO POR NO TENER ERRORES DE PRECIO 12/2024 S,-273.19,-273.19,H,5742,1,2025,319
2025-01-30,4000001,INCENTIVOS POR RESOLUCION LITIGIOS 12/2024 SEC 11,-273.17,-273.17,H,5742,1,2025,319
2025-01-30,4000001,INCENTIVOS POR NO TENER PRODUCTO CADUCADO 12/2024,-273.2,-273.2,H,5742,1,2025,319
2025-01-30,4000001,INCENTIVOS POR NO TENER STOCKS NEGATIVOS 12/2024 S,-273.22,-273.22,H,5742,1,2025,319
2025-01-31,4000001,INCENTIVO POR NO INTERPOSICION LITIGIOS 01/2025 SE,-116.27,-116.27,H,5742,1,2025,319
2025-01-31,4000001,CANON LOGISTICO 01/2025 TDA 6234,2032.32,2032.32,H,5742,1,2025,319
2025-01-31,4000001,CANON CLUB CARREFOUR 01/2025 TDA 6234,181.5,181.5,H,5742,1,2025,319
2025-01-05,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250000114",1117.89,1117.89,H,5742,1,2025,319
2025-01-15,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250000791",1398.27,1398.27,H,5742,1,2025,319
2025-01-15,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250000792",256.8,256.8,H,5742,1,2025,319
2025-01-25,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250002209",311.87,311.87,H,5742,1,2025,319
2025-01-25,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250002210",1115.21,1115.21,H,5742,1,2025,319
2025-01-25,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250002211",1259.6,1259.6,H,5742,1,2025,319
2025-01-31,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250003698",296.38,296.38,H,5742,1,2025,319
2025-01-31,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250003699",950.58,950.58,H,5742,1,2025,319
2025-01-28,4000002,INCENTIVOS POR TASA DE INTEGRACION 12/2024 SEC 22,-433.04,-433.04,H,5742,1,2025,319
2025-01-29,4000002,RAPPEL OTROS FORMATO SEC 22 TDA 6234 IVA SUPERREDU,-15.44,-15.44,H,5742,1,2025,319
2025-01-30,4000002,RAPPEL MENSUAL 12/2024 SEC 10 TDA 5799 IVA GENERAL,-33.35,-33.35,H,5742,1,2025,319
2025-01-30,4000002,RAPPEL MENSUAL 12/2024 SEC 14 TDA 5799 IVA 2%,-33.36,-33.36,H,5742,1,2025,319
2025-01-30,4000002,INCENTIVOS POR RESOLUCION LITIGIOS 12/2024 SEC 22,-33.35,-33.35,H,5742,1,2025,319
2025-01-30,4000002,INCENTIVOS POR NO TENER PRODUCTO CADUCADO 12/2024,-33.35,-33.35,H,5742,1,2025,319
2025-01-30,4000002,INCENTIVOS POR NO TENER STOCKS NEGATIVOS 12/2024 S,-33.35,-33.35,H,5742,1,2025,319
2025-01-31,4000002,INCENTIVO POR NO TENER ERRORES DE PRECIO 12/2024 S,-16.77,-16.77,H,5742,1,2025,319
2025-01-31,4000004,CANON DE ENSEÑA VARIABLE 01/2025 TDA 6234,1582.91,1582.91,H,5742,1,2025,319
2025-01-03,4101100,Tarjeta Regalo (multisociedad)                    03/01/2025,3.42,3.42,D,5742,1,2025,319
2025-01-05,4101100,Tarjeta Regalo (multisociedad)                    05/01/2025,1.42,1.42,D,5742,1,2025,319
2025-01-07,4101100,Tarjeta Regalo (multisociedad)                    07/01/2025,2.25,2.25,D,5742,1,2025,319
2025-01-09,4101100,Tarjeta Regalo (multisociedad)                    09/01/2025,7.67,7.67,D,5742,1,2025,319
2025-01-10,4101100,Tarjeta Regalo (multisociedad)                    10/01/2025,13.63,13.63,D,5742,1,2025,319
2025-01-16,4101100,Tarjeta Regalo (multisociedad)                    16/01/2025,23.77,23.77,D,5742,1,2025,319
2025-01-17,4101100,Tarjeta Regalo (multisociedad)                    17/01/2025,29.86,29.86,D,5742,1,2025,319
2025-01-18,4101100,Tarjeta Regalo (multisociedad)                    18/01/2025,62.85,62.85,D,5742,1,2025,319
2025-01-19,4101100,Tarjeta Regalo (multisociedad)                    19/01/2025,66.89,66.89,D,5742,1,2025,319
2025-01-20,4101100,Tarjeta Regalo (multisociedad)                    20/01/2025,21.21,21.21,D,5742,1,2025,319
2025-01-21,4101100,Tarjeta Regalo (multisociedad)                    21/01/2025,11.11,11.11,D,5742,1,2025,319
2025-01-22,4101100,Tarjeta Regalo (multisociedad)                    22/01/2025,68.02,68.02,D,5742,1,2025,319
2025-01-23,4101100,Tarjeta Regalo (multisociedad)                    23/01/2025,29.14,29.14,D,5742,1,2025,319
2025-01-24,4101100,Tarjeta Regalo (multisociedad)                    24/01/2025,96.4,96.4,D,5742,1,2025,319
2025-01-25,4101100,Tarjeta Regalo (multisociedad)                    25/01/2025,25.46,25.46,D,5742,1,2025,319
2025-01-26,4101100,Tarjeta Regalo (multisociedad)                    26/01/2025,31.55,31.55,D,5742,1,2025,319
2025-01-27,4101100,Tarjeta Regalo (multisociedad)                    27/01/2025,53.03,53.03,D,5742,1,2025,319
2025-01-28,4101100,Tarjeta Regalo (multisociedad)                    28/01/2025,32.27,32.27,D,5742,1,2025,319
2025-01-29,4101100,Tarjeta Regalo (multisociedad)                    29/01/2025,66.13,66.13,D,5742,1,2025,319
2025-01-30,4101100,Tarjeta Regalo (multisociedad)                    30/01/2025,12.07,12.07,D,5742,1,2025,319
2025-01-31,4101100,Tarjeta Regalo (multisociedad)                    31/01/2025,3.03,3.03,D,5742,1,2025,319
2025-01-11,4101102,VALES PUBLI.:FINANZAS/SEGUROS                     11/01/2025,8.55,8.55,D,5742,1,2025,319
2025-01-17,4101102,VALES PUBLI.:FINANZAS/SEGUROS                     17/01/2025,2.0,2.0,D,5742,1,2025,319
2025-01-18,4101102,VALES PUBLI.:FINANZAS/SEGUROS                     18/01/2025,2.0,2.0,D,5742,1,2025,319
2025-01-20,4101102,VALES PUBLI.:FINANZAS/SEGUROS                     20/01/2025,4.0,4.0,D,5742,1,2025,319
2025-01-21,4101102,VALES PUBLI.:FINANZAS/SEGUROS                     21/01/2025,3.29,3.29,D,5742,1,2025,319
2025-01-02,4101103,Cupones Club Carrefour                            02/01/2025,5.0,5.0,D,5742,1,2025,319
2025-01-22,4101103,Cupones Club Carrefour                            22/01/2025,1.12,1.12,D,5742,1,2025,319
2025-01-23,4101103,Cupones Club Carrefour                            23/01/2025,10.0,10.0,D,5742,1,2025,319
2025-01-24,4101103,Cupones Club Carrefour                            24/01/2025,15.22,15.22,D,5742,1,2025,319
