FECAPU,CUEAPU,CONAPU,IMPAPU,IMEAPU,D-HAPU,DEPAPU,Mes,Año,Franquiciado
2025-01-31,2810000,AMORTIZACION REFORMA Y PINTURA ,7.0,7.08,H,4672,1,2025,208
2025-02-28,2810000,AMORTIZACION REFORMA Y PINTURA ,6.0,6.39,H,4672,1,2025,208
2025-03-31,2810000,AMORTIZACION REFORMA Y PINTURA ,7.0,7.08,H,4672,1,2025,208
2025-04-30,2810000,AMORTIZACION REFORMA Y PINTURA ,7.0,6.85,H,4672,1,2025,208
2025-05-31,2810000,AMORTIZACION REFORMA Y PINTURA ,7.0,7.08,H,4672,1,2025,208
2025-06-30,2810000,AMORTIZACION REFORMA Y PINTURA ,7.0,6.85,H,4672,1,2025,208
2025-07-31,2810000,AMORTIZACION REFORMA Y PINTURA ,7.0,7.08,H,4672,1,2025,208
2025-08-31,2810000,AMORTIZACION REFORMA Y PINTURA ,7.0,7.08,H,4672,1,2025,208
2025-09-30,2810000,AMORTIZACION REFORMA Y PINTURA ,7.0,6.85,H,4672,1,2025,208
2025-10-31,2810000,AMORTIZACION REFORMA Y PINTURA ,7.0,7.08,H,4672,1,2025,208
2025-11-30,2810000,AMORTIZACION REFORMA Y PINTURA ,7.0,6.85,H,4672,1,2025,208
2025-12-31,2810000,AMORTIZACION REFORMA Y PINTURA ,7.0,7.07,H,4672,1,2025,208
2025-01-31,2811000,AMORTIZACION 50% REFORMA Y PINTURA SUPERMERCADO,18.0,17.68,D,4672,1,2025,208
2025-02-28,2811000,AMORTIZACION 50% REFORMA Y PINTURA SUPERMERCADO,16.0,15.97,D,4672,1,2025,208
2025-03-31,2811000,AMORTIZACION 50% REFORMA Y PINTURA SUPERMERCADO,18.0,17.68,D,4672,1,2025,208
2025-04-30,2811000,AMORTIZACION 50% REFORMA Y PINTURA SUPERMERCADO,17.0,17.11,D,4672,1,2025,208
2025-05-31,2811000,AMORTIZACION 50% REFORMA Y PINTURA SUPERMERCADO,18.0,17.68,D,4672,1,2025,208
2025-06-30,2811000,AMORTIZACION 50% REFORMA Y PINTURA SUPERMERCADO,17.0,17.11,D,4672,1,2025,208
2025-07-31,2811000,AMORTIZACION 50% REFORMA Y PINTURA SUPERMERCADO,18.0,17.68,D,4672,1,2025,208
2025-08-31,2811000,AMORTIZACION 50% REFORMA Y PINTURA SUPERMERCADO,18.0,17.68,D,4672,1,2025,208
2025-09-30,2811000,AMORTIZACION 50% REFORMA Y PINTURA SUPERMERCADO,17.0,17.11,D,4672,1,2025,208
2025-10-31,2811000,AMORTIZACION 50% REFORMA Y PINTURA SUPERMERCADO,18.0,17.68,D,4672,1,2025,208
2025-11-30,2811000,AMORTIZACION 50% REFORMA Y PINTURA SUPERMERCADO,17.0,17.11,D,4672,1,2025,208
2025-12-31,2811000,AMORTIZACION 50% REFORMA Y PINTURA SUPERMERCADO,18.0,17.63,D,4672,1,2025,208
2025-01-31,2812000,AMORTIZACION montaje aislamiento froigorifico,55.0,55.27,H,4672,1,2025,208
2025-02-28,2812000,AMORTIZACION montaje aislamiento froigorifico,50.0,49.92,H,4672,1,2025,208
2025-03-31,2812000,AMORTIZACION montaje aislamiento froigorifico,55.0,55.27,H,4672,1,2025,208
2025-04-30,2812000,AMORTIZACION montaje aislamiento froigorifico,53.0,53.49,H,4672,1,2025,208
2025-05-31,2812000,AMORTIZACION montaje aislamiento froigorifico,55.0,55.27,H,4672,1,2025,208
2025-06-30,2812000,AMORTIZACION montaje aislamiento froigorifico,53.0,53.49,H,4672,1,2025,208
2025-07-31,2812000,AMORTIZACION montaje aislamiento froigorifico,55.0,55.27,H,4672,1,2025,208
2025-08-31,2812000,AMORTIZACION montaje aislamiento froigorifico,55.0,55.27,H,4672,1,2025,208
2025-09-30,2812000,AMORTIZACION montaje aislamiento froigorifico,53.0,53.49,H,4672,1,2025,208
