FECAPU,CUEAPU,CONAPU,IMPAPU,IMEAPU,D-HAPU,DEPAPU,Mes,Año,Franquiciado
2025-01-31,2804000,AMORTIZACION COMPRAVENTA NEGOCIO,892.0,891.78,H,5680,1,2025,305
2025-02-28,2804000,AMORTIZACION COMPRAVENTA NEGOCIO,805.0,805.48,H,5680,1,2025,305
2025-03-31,2804000,AMORTIZACION COMPRAVENTA NEGOCIO,892.0,891.78,H,5680,1,2025,305
2025-04-30,2804000,AMORTIZACION COMPRAVENTA NEGOCIO,863.0,863.01,H,5680,1,2025,305
2025-05-31,2804000,AMORTIZACION COMPRAVENTA NEGOCIO,892.0,891.78,H,5680,1,2025,305
2025-06-30,2804000,AMORTIZACION COMPRAVENTA NEGOCIO,863.0,863.01,H,5680,1,2025,305
2025-07-31,2804000,AMORTIZACION COMPRAVENTA NEGOCIO,892.0,891.78,H,5680,1,2025,305
2025-08-31,2804000,AMORTIZACION COMPRAVENTA NEGOCIO,892.0,891.78,H,5680,1,2025,305
2025-09-30,2804000,AMORTIZACION COMPRAVENTA NEGOCIO,863.0,863.01,H,5680,1,2025,305
2025-10-31,2804000,AMORTIZACION COMPRAVENTA NEGOCIO,892.0,891.78,H,5680,1,2025,305
2025-11-30,2804000,AMORTIZACION COMPRAVENTA NEGOCIO,863.0,863.01,H,5680,1,2025,305
2025-12-31,2804000,AMORTIZACION COMPRAVENTA NEGOCIO,892.0,891.8,H,5680,1,2025,305
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250007938",8428.72,8428.72,H,5680,1,2025,305
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001590",330.41,330.41,H,5680,1,2025,305
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001591",11781.4,11781.4,H,5680,1,2025,305
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001592",3740.23,3740.23,H,5680,1,2025,305
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001593",-279.93,-279.93,H,5680,1,2025,305
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001594",-262.94,-262.94,H,5680,1,2025,305
2025-01-05,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000193",8765.45,8765.45,H,5680,1,2025,305
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004658",5220.38,5220.38,H,5680,1,2025,305
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004659",9749.6,9749.6,H,5680,1,2025,305
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004660",5546.16,5546.16,H,5680,1,2025,305
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004661",-382.36,-382.36,H,5680,1,2025,305
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004662",-7.29,-7.29,H,5680,1,2025,305
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004663",-246.62,-246.62,H,5680,1,2025,305
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250007937",6129.57,6129.57,H,5680,1,2025,305
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250007939",-263.67,-263.67,H,5680,1,2025,305
2025-01-28,4000001,INCENTIVOS POR TASA DE INTEGRACION 12/2024 SEC 11,-2915.94,-2915.94,H,5680,1,2025,305
2025-01-29,4000001,RAPPEL MENSUAL 12/2024 SEC 11 TDA 6156 IVA SUPERRE,-3.92,-3.92,H,5680,1,2025,305
2025-01-29,4000001,RAPPEL MENSUAL 12/2024 SEC 10 TDA 6156 IVA REDUCID,-313.47,-313.47,H,5680,1,2025,305
2025-01-29,4000001,RAPPEL MENSUAL 12/2024 SEC 10 TDA 6156 IVA GENERAL,-320.72,-320.72,H,5680,1,2025,305
2025-01-29,4000001,RAPPEL MENSUAL 12/2024 SEC 10 TDA 6156 IVA 2%,-79.6,-79.6,H,5680,1,2025,305
2025-01-30,4000001,INCENTIVOS POR CORRECTA SEÑALIZACIÓN 12/2024 SEC 1,-345.19,-345.19,H,5680,1,2025,305
2025-01-30,4000001,INCENTIVO POR NO TENER ERRORES DE PRECIO 12/2024 S,-345.2,-345.2,H,5680,1,2025,305
2025-01-30,4000001,INCENTIVOS POR RESOLUCION LITIGIOS 12/2024 SEC 11,-345.19,-345.19,H,5680,1,2025,305
2025-01-30,4000001,INCENTIVOS POR NO TENER PRODUCTO CADUCADO 12/2024,-345.15,-345.15,H,5680,1,2025,305
2025-01-30,4000001,INCENTIVOS POR NO TENER STOCKS NEGATIVOS 12/2024 S,-345.17,-345.17,H,5680,1,2025,305
2025-01-31,4000001,INCENTIVO POR NO INTERPOSICION LITIGIOS 01/2025 SE,-143.78,-143.78,H,5680,1,2025,305
2025-01-31,4000001,CANON LOGISTICO 01/2025 TDA 6156,1107.43,1107.43,H,5680,1,2025,305
2025-01-31,4000001,CANON CLUB CARREFOUR 01/2025 TDA 6156,181.5,181.5,H,5680,1,2025,305
2025-01-03,4000001,CC CARREFOUR  S. FRA:  0103000246,-2903.0,-2902.62,H,5680,1,2025,305
2025-01-05,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250000092",993.52,993.52,H,5680,1,2025,305
2025-01-15,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250000726",2086.4,2086.4,H,5680,1,2025,305
2025-01-15,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250000727",771.66,771.66,H,5680,1,2025,305
2025-01-25,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250002144",785.88,785.88,H,5680,1,2025,305
