FECAPU,CUEAPU,CONAPU,IMPAPU,IMEAPU,D-HAPU,DEPAPU,Mes,Año,Franquiciado
2025-01-31,2811000,AMORTIZACION CONSTRUCCIÓN_PLADUR ,3.0,3.48,H,5621,1,2025,297
2025-02-28,2811000,AMORTIZACION CONSTRUCCIÓN_PLADUR ,3.0,3.14,H,5621,1,2025,297
2025-03-31,2811000,AMORTIZACION CONSTRUCCIÓN_PLADUR ,3.0,3.48,H,5621,1,2025,297
2025-04-30,2811000,AMORTIZACION CONSTRUCCIÓN_PLADUR ,3.0,3.37,H,5621,1,2025,297
2025-05-31,2811000,AMORTIZACION CONSTRUCCIÓN_PLADUR ,3.0,3.48,H,5621,1,2025,297
2025-06-30,2811000,AMORTIZACION CONSTRUCCIÓN_PLADUR ,3.0,3.37,H,5621,1,2025,297
2025-07-31,2811000,AMORTIZACION CONSTRUCCIÓN_PLADUR ,3.0,3.48,H,5621,1,2025,297
2025-08-31,2811000,AMORTIZACION CONSTRUCCIÓN_PLADUR ,3.0,3.48,H,5621,1,2025,297
2025-09-30,2811000,AMORTIZACION CONSTRUCCIÓN_PLADUR ,3.0,3.37,H,5621,1,2025,297
2025-10-31,2811000,AMORTIZACION CONSTRUCCIÓN_PLADUR ,3.0,3.48,H,5621,1,2025,297
2025-11-30,2811000,AMORTIZACION CONSTRUCCIÓN_PLADUR ,3.0,3.37,H,5621,1,2025,297
2025-12-31,2811000,AMORTIZACION CONSTRUCCIÓN_PLADUR ,3.0,3.45,H,5621,1,2025,297
2025-01-31,2811000,AMORTIZACION CONSTRUCCIÓN PLACAS_PLADUR,3.0,3.39,H,5621,1,2025,297
2025-02-28,2811000,AMORTIZACION CONSTRUCCIÓN PLACAS_PLADUR,3.0,3.06,H,5621,1,2025,297
2025-03-31,2811000,AMORTIZACION CONSTRUCCIÓN PLACAS_PLADUR,3.0,3.39,H,5621,1,2025,297
2025-04-30,2811000,AMORTIZACION CONSTRUCCIÓN PLACAS_PLADUR,3.0,3.28,H,5621,1,2025,297
2025-05-31,2811000,AMORTIZACION CONSTRUCCIÓN PLACAS_PLADUR,3.0,3.39,H,5621,1,2025,297
2025-06-30,2811000,AMORTIZACION CONSTRUCCIÓN PLACAS_PLADUR,3.0,3.28,H,5621,1,2025,297
2025-07-31,2811000,AMORTIZACION CONSTRUCCIÓN PLACAS_PLADUR,3.0,3.39,H,5621,1,2025,297
2025-08-31,2811000,AMORTIZACION CONSTRUCCIÓN PLACAS_PLADUR,3.0,3.39,H,5621,1,2025,297
2025-09-30,2811000,AMORTIZACION CONSTRUCCIÓN PLACAS_PLADUR,3.0,3.28,H,5621,1,2025,297
2025-10-31,2811000,AMORTIZACION CONSTRUCCIÓN PLACAS_PLADUR,3.0,3.39,H,5621,1,2025,297
2025-11-30,2811000,AMORTIZACION CONSTRUCCIÓN PLACAS_PLADUR,3.0,3.28,H,5621,1,2025,297
2025-12-31,2811000,AMORTIZACION CONSTRUCCIÓN PLACAS_PLADUR,3.0,3.35,H,5621,1,2025,297
2025-01-31,2812000,AMORTIZACION SISTEMA REFRIGERACIÓN_2o,215.0,214.89,H,5621,1,2025,297
2025-02-28,2812000,AMORTIZACION SISTEMA REFRIGERACIÓN_2o,194.0,194.1,H,5621,1,2025,297
2025-03-31,2812000,AMORTIZACION SISTEMA REFRIGERACIÓN_2o,215.0,214.89,H,5621,1,2025,297
2025-04-30,2812000,AMORTIZACION SISTEMA REFRIGERACIÓN_2o,208.0,207.96,H,5621,1,2025,297
2025-05-31,2812000,AMORTIZACION SISTEMA REFRIGERACIÓN_2o,215.0,214.89,H,5621,1,2025,297
