FECAPU,CUEAPU,CONAPU,IMPAPU,IMEAPU,D-HAPU,DEPAPU,Mes,Año,Franquiciado
2025-01-05,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000259",6065.96,6065.96,H,5760,1,2025,320
2025-01-05,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000260",-105.86,-105.86,H,5760,1,2025,320
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001795",8014.25,8014.25,H,5760,1,2025,320
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001796",3074.2,3074.2,H,5760,1,2025,320
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001797",-228.94,-228.94,H,5760,1,2025,320
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004850",3190.42,3190.42,H,5760,1,2025,320
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004851",6522.37,6522.37,H,5760,1,2025,320
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004852",4089.66,4089.66,H,5760,1,2025,320
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004853",-16.45,-16.45,H,5760,1,2025,320
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004854",-102.19,-102.19,H,5760,1,2025,320
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008122",2888.8,2888.8,H,5760,1,2025,320
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008123",6559.6,6559.6,H,5760,1,2025,320
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008124",-156.51,-156.51,H,5760,1,2025,320
2025-01-29,4000001,RAPPEL MENSUAL 12/2024 SEC 11 TDA 6255 IVA SUPERRE,-7.17,-7.17,H,5760,1,2025,320
2025-01-29,4000001,RAPPEL MENSUAL 12/2024 SEC 10 TDA 6255 IVA REDUCID,-262.48,-262.48,H,5760,1,2025,320
2025-01-29,4000001,RAPPEL MENSUAL 12/2024 SEC 10 TDA 6255 IVA GENERAL,-271.04,-271.04,H,5760,1,2025,320
2025-01-29,4000001,RAPPEL MENSUAL 12/2024 SEC 10 TDA 6255 IVA 2%,-45.91,-45.91,H,5760,1,2025,320
2025-01-30,4000001,INCENTIVOS POR CORRECTA SEÑALIZACIÓN 12/2024 SEC 1,-217.77,-217.77,H,5760,1,2025,320
2025-01-30,4000001,INCENTIVO POR NO TENER ERRORES DE PRECIO 12/2024 S,-217.78,-217.78,H,5760,1,2025,320
2025-01-30,4000001,INCENTIVOS POR RESOLUCION LITIGIOS 12/2024 SEC 11,-217.76,-217.76,H,5760,1,2025,320
2025-01-30,4000001,INCENTIVOS POR NO TENER PRODUCTO CADUCADO 12/2024,-217.78,-217.78,H,5760,1,2025,320
2025-01-30,4000001,INCENTIVOS POR NO TENER STOCKS NEGATIVOS 12/2024 S,-217.77,-217.77,H,5760,1,2025,320
