FECAPU,CUEAPU,CONAPU,IMPAPU,IMEAPU,D-HAPU,DEPAPU,Mes,Año,Franquiciado
2025-01-31,2817000,AMORTIZACION MSI KATANA 15 B13VGK ,25.0,24.55,D,5513,1,2025,244
2025-02-28,2817000,AMORTIZACION MSI KATANA 15 B13VGK ,22.0,22.17,D,5513,1,2025,244
2025-03-31,2817000,AMORTIZACION MSI KATANA 15 B13VGK ,25.0,24.55,D,5513,1,2025,244
2025-04-30,2817000,AMORTIZACION MSI KATANA 15 B13VGK ,24.0,23.76,D,5513,1,2025,244
2025-05-31,2817000,AMORTIZACION MSI KATANA 15 B13VGK ,25.0,24.55,D,5513,1,2025,244
2025-06-30,2817000,AMORTIZACION MSI KATANA 15 B13VGK ,24.0,23.76,D,5513,1,2025,244
2025-07-31,2817000,AMORTIZACION MSI KATANA 15 B13VGK ,25.0,24.55,D,5513,1,2025,244
2025-08-31,2817000,AMORTIZACION MSI KATANA 15 B13VGK ,25.0,24.55,D,5513,1,2025,244
2025-09-30,2817000,AMORTIZACION MSI KATANA 15 B13VGK ,24.0,23.76,D,5513,1,2025,244
2025-10-31,2817000,AMORTIZACION MSI KATANA 15 B13VGK ,25.0,24.55,D,5513,1,2025,244
2025-11-30,2817000,AMORTIZACION MSI KATANA 15 B13VGK ,24.0,23.76,D,5513,1,2025,244
2025-12-31,2817000,AMORTIZACION MSI KATANA 15 B13VGK ,25.0,24.54,D,5513,1,2025,244
2025-01-31,4770000,PERUJAL SL VENTA MES 1,12007.0,12006.67,H,5394,1,2025,244
2025-01-31,4770000,PERUJAL SL VENTA MES 1,8796.0,8796.36,H,5513,1,2025,244
2025-01-31,4850001,PERUJAL SL VENTA MES 1,127824.0,127824.3,D,5394,1,2025,244
2025-01-31,4850001,PERUJAL SL VENTA MES 1,98368.0,98368.07,D,5513,1,2025,244
2025-01-31,4850002,PERUJAL SL VENTA MES 1,86.0,86.13,H,5394,1,2025,244
2025-01-31,4850002,PERUJAL SL VENTA MES 1,113.0,113.22,H,5513,1,2025,244
2025-01-15,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003590",1714.0,1713.73,D,5394,1,2025,244
2025-01-15,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003593",2694.0,2694.16,D,5513,1,2025,244
2025-01-15,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003594",1004.0,1004.16,D,5513,1,2025,244
2025-01-05,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000761",2115.0,2114.68,D,5394,1,2025,244
2025-01-05,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000762",1564.0,1563.95,D,5513,1,2025,244
2025-01-15,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003589",2759.0,2758.98,D,5394,1,2025,244
2025-01-25,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006168",920.0,919.75,D,5394,1,2025,244
2025-01-25,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006169",2838.0,2837.64,D,5394,1,2025,244
2025-01-25,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006170",957.0,956.78,D,5394,1,2025,244
2025-01-25,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006173",1108.0,1108.3,D,5513,1,2025,244
2025-01-25,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006174",2122.0,2122.44,D,5513,1,2025,244
2025-01-25,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006175",1220.0,1219.57,D,5513,1,2025,244
2025-01-31,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009863",1308.0,1308.11,D,5394,1,2025,244
2025-01-31,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009864",2323.0,2323.35,D,5394,1,2025,244
2025-01-31,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009866",2710.0,2709.73,D,5513,1,2025,244
2025-01-15,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003590",453.0,452.68,D,5394,1,2025,244
2025-01-15,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003593",911.0,910.89,D,5513,1,2025,244
2025-01-15,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003594",201.0,201.08,D,5513,1,2025,244
2025-01-05,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000761",616.0,615.59,D,5394,1,2025,244
2025-01-05,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000762",440.0,439.92,D,5513,1,2025,244
