FECAPU,CUEAPU,CONAPU,IMPAPU,IMEAPU,D-HAPU,DEPAPU,Mes,Año,Franquiciado
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006276",2214.87,2214.87,H,5469,1,2025,329
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006277",8350.01,8350.01,H,5469,1,2025,329
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006278",8478.0,8478.0,H,5469,1,2025,329
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006279",-28.67,-28.67,H,5469,1,2025,329
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006280",-21.67,-21.67,H,5469,1,2025,329
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006281",-13.72,-13.72,H,5469,1,2025,329
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009990",9311.23,9311.23,H,5469,1,2025,329
2025-01-05,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000802",6497.59,6497.59,H,5469,1,2025,329
2025-01-05,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000803",-6.14,-6.14,H,5469,1,2025,329
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003716",9599.73,9599.73,H,5469,1,2025,329
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003717",3643.75,3643.75,H,5469,1,2025,329
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003718",-63.24,-63.24,H,5469,1,2025,329
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003719",-13.34,-13.34,H,5469,1,2025,329
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009991",-19.59,-19.59,H,5469,1,2025,329
2025-01-25,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250003000",46.68,46.68,H,5469,1,2025,329
2025-01-25,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250003001",709.7,709.7,H,5469,1,2025,329
2025-01-25,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250003002",392.57,392.57,H,5469,1,2025,329
2025-01-05,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250000394",439.78,439.78,H,5469,1,2025,329
2025-01-15,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250001718",305.84,305.84,H,5469,1,2025,329
2025-01-15,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250001719",301.18,301.18,H,5469,1,2025,329
2025-01-31,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250004649",481.14,481.14,H,5469,1,2025,329
2025-01-02,4101100,Tarjeta Regalo (multisociedad)                    02/01/2025,1.49,1.49,D,5469,1,2025,329
2025-01-04,4101100,Tarjeta Regalo (multisociedad)                    04/01/2025,9.94,9.94,D,5469,1,2025,329
2025-01-08,4101100,Tarjeta Regalo (multisociedad)                    08/01/2025,34.42,34.42,D,5469,1,2025,329
2025-01-09,4101100,Tarjeta Regalo (multisociedad)                    09/01/2025,29.15,29.15,D,5469,1,2025,329
2025-01-11,4101100,Tarjeta Regalo (multisociedad)                    11/01/2025,1.46,1.46,D,5469,1,2025,329
2025-01-16,4101100,Tarjeta Regalo (multisociedad)                    16/01/2025,7.3,7.3,D,5469,1,2025,329
2025-01-17,4101100,Tarjeta Regalo (multisociedad)                    17/01/2025,38.59,38.59,D,5469,1,2025,329
2025-01-18,4101100,Tarjeta Regalo (multisociedad)                    18/01/2025,37.87,37.87,D,5469,1,2025,329
2025-01-19,4101100,Tarjeta Regalo (multisociedad)                    19/01/2025,9.64,9.64,D,5469,1,2025,329
2025-01-20,4101100,Tarjeta Regalo (multisociedad)                    20/01/2025,22.85,22.85,D,5469,1,2025,329
2025-01-21,4101100,Tarjeta Regalo (multisociedad)                    21/01/2025,9.64,9.64,D,5469,1,2025,329
2025-01-23,4101100,Tarjeta Regalo (multisociedad)                    23/01/2025,24.17,24.17,D,5469,1,2025,329
2025-01-25,4101100,Tarjeta Regalo (multisociedad)                    25/01/2025,7.72,7.72,D,5469,1,2025,329
2025-01-26,4101100,Tarjeta Regalo (multisociedad)                    26/01/2025,6.67,6.67,D,5469,1,2025,329
2025-01-27,4101100,Tarjeta Regalo (multisociedad)                    27/01/2025,1.25,1.25,D,5469,1,2025,329
2025-01-28,4101100,Tarjeta Regalo (multisociedad)                    28/01/2025,17.33,17.33,D,5469,1,2025,329
2025-01-29,4101100,Tarjeta Regalo (multisociedad)                    29/01/2025,3.02,3.02,D,5469,1,2025,329
2025-01-28,4101102,VALES PUBLI.:FINANZAS/SEGUROS                     28/01/2025,1.03,1.03,D,5469,1,2025,329
2025-01-05,4101103,Cupones Club Carrefour                            05/01/2025,2.0,2.0,D,5469,1,2025,329
2025-01-07,4101103,Cupones Club Carrefour                            07/01/2025,2.0,2.0,D,5469,1,2025,329
2025-01-08,4101103,Cupones Club Carrefour                            08/01/2025,2.0,2.0,D,5469,1,2025,329
2025-01-11,4101103,Cupones Club Carrefour                            11/01/2025,5.0,5.0,D,5469,1,2025,329
2025-01-23,4101103,Cupones Club Carrefour                            23/01/2025,8.0,8.0,D,5469,1,2025,329
2025-01-25,4101103,Cupones Club Carrefour                            25/01/2025,2.0,2.0,D,5469,1,2025,329
2025-01-26,4101103,Cupones Club Carrefour                            26/01/2025,15.0,15.0,D,5469,1,2025,329
2025-01-27,4101103,Cupones Club Carrefour                            27/01/2025,8.0,8.0,D,5469,1,2025,329
2025-01-28,4101103,Cupones Club Carrefour                            28/01/2025,0.24,0.24,D,5469,1,2025,329
2025-01-31,4101103,Cupones Club Carrefour                            31/01/2025,11.0,11.0,D,5469,1,2025,329
2025-01-23,4101103,C.COMERCIALES CARREFEOUR 0709300158,8.0,7.8,H,5469,1,2025,329
2025-01-22,4101103,C.COMERCIALES CARREFEOUR 0709300156,11.0,11.0,H,5469,1,2025,329
2025-01-21,4101103,C.COMERCIALES CARREFEOUR 0709300155,76.0,76.46,H,5469,1,2025,329
2025-01-09,4101103,C.COMERCIALES CARREFEOUR 0709300153,31.0,30.9,H,5469,1,2025,329
2025-01-09,4101103,C.COMERCIALES CARREFEOUR 0709300154,5.0,5.0,H,5469,1,2025,329
2025-01-23,4300001,C.COMERCIALES CARREFEOUR 0709300158,8.0,7.8,D,5469,1,2025,329
2025-01-22,4300001,C.COMERCIALES CARREFEOUR 0709300156,11.0,11.0,D,5469,1,2025,329
2025-01-22,4300001,C.COMERCIALES CARREFEOUR 0709300157,46.0,45.88,D,5469,1,2025,329
2025-01-21,4300001,C.COMERCIALES CARREFEOUR 0709300155,76.0,76.46,D,5469,1,2025,329
2025-01-09,4300001,C.COMERCIALES CARREFEOUR 0709300153,31.0,30.9,D,5469,1,2025,329
2025-01-09,4300001,C.COMERCIALES CARREFEOUR 0709300154,5.0,5.0,D,5469,1,2025,329
2025-01-04,4430002,TARJETAS PASS AUTOMATICAS                         04/01/2025,15.42,15.42,D,5469,1,2025,329
2025-01-07,4430002,TARJETAS PASS AUTOMATICAS                         07/01/2025,3.0,3.0,D,5469,1,2025,329
2025-01-12,4430002,TARJETAS PASS AUTOMATICAS                         12/01/2025,16.64,16.64,D,5469,1,2025,329
2025-01-14,4430002,TARJETAS PASS AUTOMATICAS                         14/01/2025,24.52,24.52,D,5469,1,2025,329
2025-01-19,4430002,TARJETAS PASS AUTOMATICAS                         19/01/2025,10.04,10.04,D,5469,1,2025,329
2025-01-26,4430002,TARJETAS PASS AUTOMATICAS                         26/01/2025,24.68,24.68,D,5469,1,2025,329
2025-01-27,4430002,TARJETAS PASS AUTOMATICAS                         27/01/2025,1.83,1.83,D,5469,1,2025,329
2025-01-25,4720000,CC CARREFOUR S.FRA.: IVAFU0961N250006276,234.41,234.41,D,5469,1,2025,329
2025-01-25,4720000,CC CARREFOUR S.FRA.: IVAFU0961N250006277,863.15,863.15,D,5469,1,2025,329
2025-01-25,4720000,CC CARREFOUR S.FRA.: IVAFU0961N250006278,880.96,880.96,D,5469,1,2025,329
2025-01-25,4720000,CC CARREFOUR S.FRA.: IVAFU0961N250006279,-2.61,-2.61,D,5469,1,2025,329
2025-01-25,4720000,CC CARREFOUR S.FRA.: IVAFU0961N250006280,-1.97,-1.97,D,5469,1,2025,329
2025-01-25,4720000,CC CARREFOUR S.FRA.: IVAFU0961N250006281,-1.25,-1.25,D,5469,1,2025,329
2025-01-25,4720000,CC CARREFOUR S.FRA.: IVAFU0965N250003000,1.8,1.8,D,5469,1,2025,329
2025-01-25,4720000,CC CARREFOUR S.FRA.: IVAFU0965N250003001,28.54,28.54,D,5469,1,2025,329
2025-01-25,4720000,CC CARREFOUR S.FRA.: IVAFU0965N250003002,15.87,15.87,D,5469,1,2025,329
2025-01-31,4720000,CC CARREFOUR S.FRA.: IVAFU0961N250009990,984.07,984.07,D,5469,1,2025,329
2025-01-05,4720000,CC CARREFOUR S.FRA.: IVAFU0961N250000802,635.96,635.96,D,5469,1,2025,329
2025-01-05,4720000,CC CARREFOUR S.FRA.: IVAFU0961N250000803,-0.56,-0.56,D,5469,1,2025,329
2025-01-05,4720000,CC CARREFOUR S.FRA.: IVAFU0965N250000394,18.88,18.88,D,5469,1,2025,329
2025-01-15,4720000,CC CARREFOUR S.FRA.: IVAFU0961N250003716,918.68,918.68,D,5469,1,2025,329
2025-01-15,4720000,CC CARREFOUR S.FRA.: IVAFU0961N250003717,440.63,440.63,D,5469,1,2025,329
