FECAPU,CUEAPU,CONAPU,IMPAPU,IMEAPU,D-HAPU,DEPAPU,Mes,Año,Franquiciado
2025-01-31,4770000,UNIGROUP ALIMENTACION SL VENTA MES 1,4149.81,4149.81,H,5443,1,2025,269
2025-01-31,4850001,UNIGROUP ALIMENTACION SL VENTA MES 1,40193.69,40193.69,D,5443,1,2025,269
2025-01-31,4850002,UNIGROUP ALIMENTACION SL VENTA MES 1,54.16,54.16,H,5443,1,2025,269
2025-01-25,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006255",400.48,400.48,D,5443,1,2025,269
2025-01-31,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009964",141.92,141.92,D,5443,1,2025,269
2025-01-31,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009965",548.36,548.36,D,5443,1,2025,269
2025-01-10,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001071",1192.79,1192.79,D,5443,1,2025,269
2025-01-05,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000794",1265.12,1265.12,D,5443,1,2025,269
2025-01-15,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003692",588.6,588.6,D,5443,1,2025,269
2025-01-15,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003693",252.07,252.07,D,5443,1,2025,269
2025-01-20,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004146",180.95,180.95,D,5443,1,2025,269
2025-01-20,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004147",346.74,346.74,D,5443,1,2025,269
2025-01-25,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006254",475.96,475.96,D,5443,1,2025,269
2025-01-25,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006255",359.54,359.54,D,5443,1,2025,269
2025-01-31,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009964",232.2,232.2,D,5443,1,2025,269
2025-01-31,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009965",529.25,529.25,D,5443,1,2025,269
2025-01-10,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001071",305.67,305.67,D,5443,1,2025,269
2025-01-05,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000794",171.52,171.52,D,5443,1,2025,269
2025-01-15,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003692",288.07,288.07,D,5443,1,2025,269
2025-01-15,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003693",142.45,142.45,D,5443,1,2025,269
2025-01-20,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004146",131.86,131.86,D,5443,1,2025,269
2025-01-20,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004147",304.9,304.9,D,5443,1,2025,269
2025-01-25,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006254",204.44,204.44,D,5443,1,2025,269
2025-01-25,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006255",552.63,552.63,D,5443,1,2025,269
2025-01-31,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009964",414.01,414.01,D,5443,1,2025,269
2025-01-31,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009965",1312.02,1312.02,D,5443,1,2025,269
2025-01-10,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001071",926.91,926.91,D,5443,1,2025,269
2025-01-05,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000794",834.36,834.36,D,5443,1,2025,269
2025-01-15,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003692",531.16,531.16,D,5443,1,2025,269
2025-01-15,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003693",482.52,482.52,D,5443,1,2025,269
2025-01-20,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004146",313.57,313.57,D,5443,1,2025,269
2025-01-20,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004147",503.37,503.37,D,5443,1,2025,269
2025-01-25,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006254",683.36,683.36,D,5443,1,2025,269
2025-01-25,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006255",735.02,735.02,D,5443,1,2025,269
2025-01-31,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009964",733.06,733.06,D,5443,1,2025,269
2025-01-31,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009965",956.91,956.91,D,5443,1,2025,269
2025-01-10,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001071",1267.71,1267.71,D,5443,1,2025,269
2025-01-05,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000794",1220.55,1220.55,D,5443,1,2025,269
2025-01-15,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003692",243.63,243.63,D,5443,1,2025,269
2025-01-15,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003693",393.66,393.66,D,5443,1,2025,269
2025-01-20,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004146",37772.51,37772.51,D,5443,1,2025,269
2025-01-20,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004147",679.11,679.11,D,5443,1,2025,269
2025-01-25,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006254",756.63,756.63,D,5443,1,2025,269
