FECAPU,CUEAPU,CONAPU,IMPAPU,IMEAPU,D-HAPU,DEPAPU,Mes,Año,Franquiciado
2025-01-31,4770000,MACHALMA S.L. VENTA MES 1,13088.37,13088.37,H,5099,1,2025,258
2025-01-31,4850001,MACHALMA S.L. VENTA MES 1,135831.26,135831.26,D,5099,1,2025,258
2025-01-31,4850002,MACHALMA S.L. VENTA MES 1,352.27,352.27,H,5099,1,2025,258
2025-01-15,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003135",3478.8,3478.8,D,5099,1,2025,258
2025-01-15,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003136",787.35,787.35,D,5099,1,2025,258
2025-01-25,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005725",1073.14,1073.14,D,5099,1,2025,258
2025-01-25,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005726",2226.41,2226.41,D,5099,1,2025,258
2025-01-25,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005727",2403.8,2403.8,D,5099,1,2025,258
2025-01-05,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000583",2618.98,2618.98,D,5099,1,2025,258
2025-01-31,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009434",3446.01,3446.01,D,5099,1,2025,258
2025-01-15,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003135",1355.11,1355.11,D,5099,1,2025,258
2025-01-15,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003136",658.49,658.49,D,5099,1,2025,258
2025-01-25,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005725",342.55,342.55,D,5099,1,2025,258
2025-01-25,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005726",1480.69,1480.69,D,5099,1,2025,258
2025-01-25,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005727",1186.45,1186.45,D,5099,1,2025,258
2025-01-05,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000583",1025.69,1025.69,D,5099,1,2025,258
2025-01-31,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009434",1224.47,1224.47,D,5099,1,2025,258
2025-01-15,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003135",3537.62,3537.62,D,5099,1,2025,258
2025-01-15,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003136",1118.77,1118.77,D,5099,1,2025,258
2025-01-25,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005725",1256.95,1256.95,D,5099,1,2025,258
2025-01-25,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005726",3474.13,3474.13,D,5099,1,2025,258
2025-01-25,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005727",2926.44,2926.44,D,5099,1,2025,258
2025-01-05,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000583",3482.05,3482.05,D,5099,1,2025,258
2025-01-31,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009434",4527.39,4527.39,D,5099,1,2025,258
2025-01-15,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003135",4775.51,4775.51,D,5099,1,2025,258
2025-01-15,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003136",1281.27,1281.27,D,5099,1,2025,258
2025-01-25,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005725",1506.53,1506.53,D,5099,1,2025,258
2025-01-25,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005726",3389.35,3389.35,D,5099,1,2025,258
2025-01-25,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005727",3723.94,3723.94,D,5099,1,2025,258
2025-01-05,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000583",3282.04,3282.04,D,5099,1,2025,258
2025-01-31,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009433",73.35,73.35,D,5099,1,2025,258
2025-01-31,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009434",4684.54,4684.54,D,5099,1,2025,258
2025-01-15,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003135",817.11,817.11,D,5099,1,2025,258
2025-01-15,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003136",310.26,310.26,D,5099,1,2025,258
2025-01-25,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005725",496.79,496.79,D,5099,1,2025,258
2025-01-25,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005726",601.37,601.37,D,5099,1,2025,258
2025-01-25,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005727",736.36,736.36,D,5099,1,2025,258
2025-01-05,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000583",300.29,300.29,D,5099,1,2025,258
2025-01-31,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009434",1347.22,1347.22,D,5099,1,2025,258
2025-01-15,6000021,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003135",74.54,74.54,D,5099,1,2025,258
2025-01-15,6000021,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003136",140.42,140.42,D,5099,1,2025,258
2025-01-25,6000021,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005726",118.87,118.87,D,5099,1,2025,258
2025-01-25,6000021,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005727",29.5,29.5,D,5099,1,2025,258
2025-01-05,6000021,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000583",167.57,167.57,D,5099,1,2025,258
2025-01-31,6000021,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009434",184.24,184.24,D,5099,1,2025,258
2025-01-05,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250000295",902.31,902.31,D,5099,1,2025,258
2025-01-15,6000022,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003135",199.09,199.09,D,5099,1,2025,258
2025-01-15,6000022,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003136",181.12,181.12,D,5099,1,2025,258
2025-01-15,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250001456",1363.53,1363.53,D,5099,1,2025,258
2025-01-15,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250001457",626.53,626.53,D,5099,1,2025,258
2025-01-25,6000022,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005726",83.82,83.82,D,5099,1,2025,258
2025-01-25,6000022,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005727",199.81,199.81,D,5099,1,2025,258
2025-01-05,6000022,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000583",176.07,176.07,D,5099,1,2025,258
2025-01-25,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250002723",566.57,566.57,D,5099,1,2025,258
2025-01-25,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250002724",1306.25,1306.25,D,5099,1,2025,258
2025-01-25,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250002725",1117.63,1117.63,D,5099,1,2025,258
2025-01-31,6000022,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009434",202.69,202.69,D,5099,1,2025,258
2025-01-31,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250004390",1870.46,1870.46,D,5099,1,2025,258
2025-01-05,6000023,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000583",1038.33,1038.33,D,5099,1,2025,258
2025-01-15,6000023,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003135",1425.24,1425.24,D,5099,1,2025,258
2025-01-15,6000023,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003136",371.31,371.31,D,5099,1,2025,258
2025-01-25,6000023,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005725",512.82,512.82,D,5099,1,2025,258
2025-01-25,6000023,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005726",1010.56,1010.56,D,5099,1,2025,258
2025-01-25,6000023,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005727",1222.42,1222.42,D,5099,1,2025,258
2025-01-31,6000023,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009434",1534.65,1534.65,D,5099,1,2025,258
2025-01-05,6000024,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000583",592.8,592.8,D,5099,1,2025,258
2025-01-15,6000024,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003135",824.1,824.1,D,5099,1,2025,258
2025-01-15,6000024,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003136",355.53,355.53,D,5099,1,2025,258
2025-01-25,6000024,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005725",177.92,177.92,D,5099,1,2025,258
2025-01-25,6000024,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005726",825.03,825.03,D,5099,1,2025,258
