FECAPU,CUEAPU,CONAPU,IMPAPU,IMEAPU,D-HAPU,DEPAPU,Mes,Año,Franquiciado
2025-01-31,2816000,AMORTIZACION VITRINA CHARCUTERIA,102.0,101.61,H,5717,1,2025,315
2025-02-28,2816000,AMORTIZACION VITRINA CHARCUTERIA,92.0,91.78,H,5717,1,2025,315
2025-03-31,2816000,AMORTIZACION VITRINA CHARCUTERIA,102.0,101.61,H,5717,1,2025,315
2025-04-30,2816000,AMORTIZACION VITRINA CHARCUTERIA,98.0,98.34,H,5717,1,2025,315
2025-05-31,2816000,AMORTIZACION VITRINA CHARCUTERIA,102.0,101.61,H,5717,1,2025,315
2025-06-30,2816000,AMORTIZACION VITRINA CHARCUTERIA,98.0,98.34,H,5717,1,2025,315
2025-07-31,2816000,AMORTIZACION VITRINA CHARCUTERIA,102.0,101.61,H,5717,1,2025,315
2025-08-31,2816000,AMORTIZACION VITRINA CHARCUTERIA,102.0,101.61,H,5717,1,2025,315
2025-09-30,2816000,AMORTIZACION VITRINA CHARCUTERIA,98.0,98.34,H,5717,1,2025,315
2025-10-31,2816000,AMORTIZACION VITRINA CHARCUTERIA,102.0,101.61,H,5717,1,2025,315
2025-11-30,2816000,AMORTIZACION VITRINA CHARCUTERIA,98.0,98.34,H,5717,1,2025,315
2025-12-31,2816000,AMORTIZACION VITRINA CHARCUTERIA,102.0,101.61,H,5717,1,2025,315
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001684",5786.34,5786.34,H,5717,1,2025,315
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001685",3521.93,3521.93,H,5717,1,2025,315
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001686",-527.07,-527.07,H,5717,1,2025,315
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001687",-425.15,-425.15,H,5717,1,2025,315
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001688",-19.53,-19.53,H,5717,1,2025,315
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008021",6685.99,6685.99,H,5717,1,2025,315
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001682",75.35,75.35,H,5717,1,2025,315
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001683",11624.17,11624.17,H,5717,1,2025,315
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008022",5365.15,5365.15,H,5717,1,2025,315
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008023",7297.14,7297.14,H,5717,1,2025,315
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008024",7194.6,7194.6,H,5717,1,2025,315
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008025",-31.68,-31.68,H,5717,1,2025,315
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008026",-55.57,-55.57,H,5717,1,2025,315
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008027",-42.33,-42.33,H,5717,1,2025,315
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008028",-67.87,-67.87,H,5717,1,2025,315
2025-01-29,4000001,RAPPEL OTROS FORMATO SEC 15 TDA 6201 IVA SUPERREDU,-17.21,-17.21,H,5717,1,2025,315
2025-01-29,4000001,RAPPEL MENSUAL 12/2024 SEC 10 TDA 6201 IVA REDUCID,-366.82,-366.82,H,5717,1,2025,315
2025-01-29,4000001,RAPPEL MENSUAL 12/2024 SEC 10 TDA 6201 IVA GENERAL,-323.94,-323.94,H,5717,1,2025,315
2025-01-29,4000001,RAPPEL MENSUAL 12/2024 SEC 10 TDA 6201 IVA 2%,-72.42,-72.42,H,5717,1,2025,315
2025-01-30,4000001,INCENTIVOS POR CORRECTA SEÑALIZACIÓN 12/2024 SEC 1,-529.36,-529.36,H,5717,1,2025,315
2025-01-30,4000001,INCENTIVO POR NO TENER ERRORES DE PRECIO 12/2024 S,-529.42,-529.42,H,5717,1,2025,315
2025-01-30,4000001,INCENTIVOS POR RESOLUCION LITIGIOS 12/2024 SEC 15,-529.36,-529.36,H,5717,1,2025,315
2025-01-30,4000001,INCENTIVOS POR NO TENER PRODUCTO CADUCADO 12/2024,-529.41,-529.41,H,5717,1,2025,315
2025-01-30,4000001,INCENTIVOS POR NO TENER STOCKS NEGATIVOS 12/2024 S,-529.4,-529.4,H,5717,1,2025,315
2025-01-31,4000001,INCENTIVO POR NO INTERPOSICION LITIGIOS 01/2025 SE,-115.69,-115.69,H,5717,1,2025,315
2025-01-03,4000001,CENTROS COMERCIALES  S. FRA:  0103000271,-2366.0,-2365.62,H,5717,1,2025,315
2025-01-31,4000001,CANON LOGISTICO 01/2025 TDA 6201,1972.61,1972.61,H,5717,1,2025,315
2025-01-31,4000001,CANON CLUB CARREFOUR 01/2025 TDA 6201,181.5,181.5,H,5717,1,2025,315
2025-01-28,4000001,INCENTIVOS POR TASA DE INTEGRACION 12/2024 SEC 32,-1712.38,-1712.38,H,5717,1,2025,315
2025-01-29,4000001,RAPPEL Prot.Comercial SEC 10 TDA 6201 IVA REDUCIDO,-31.34,-31.34,H,5717,1,2025,315
2025-01-29,4000001,RAPPEL OTROS FORMATO SEC 11 TDA 6201 IVA GENERAL,-20.53,-20.53,H,5717,1,2025,315
2025-01-15,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250000767",1327.73,1327.73,H,5717,1,2025,315
2025-01-15,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250000768",143.34,143.34,H,5717,1,2025,315
2025-01-15,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250000769",355.69,355.69,H,5717,1,2025,315
2025-01-31,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250003672",714.3,714.3,H,5717,1,2025,315
2025-01-31,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250003673",782.0,782.0,H,5717,1,2025,315
2025-01-31,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250003674",792.42,792.42,H,5717,1,2025,315
2025-01-31,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250003675",693.93,693.93,H,5717,1,2025,315
2025-01-31,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965R250000077",-19.29,-19.29,H,5717,1,2025,315
2025-01-31,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965R250000078",-16.22,-16.22,H,5717,1,2025,315
2025-01-31,4000002,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965R250000079",-45.14,-45.14,H,5717,1,2025,315
2025-01-29,4000002,RAPPEL OTROS FORMATO SEC 22 TDA 6201 IVA SUPERREDU,-4.16,-4.16,H,5717,1,2025,315
2025-01-30,4000002,INCENTIVOS POR CORRECTA SEÑALIZACIÓN 12/2024 SEC 2,-39.43,-39.43,H,5717,1,2025,315
2025-01-30,4000002,INCENTIVO POR NO TENER ERRORES DE PRECIO 12/2024 S,-39.43,-39.43,H,5717,1,2025,315
2025-01-30,4000002,INCENTIVOS POR RESOLUCION LITIGIOS 12/2024 SEC 22,-39.43,-39.43,H,5717,1,2025,315
2025-01-30,4000002,INCENTIVOS POR NO TENER PRODUCTO CADUCADO 12/2024,-39.43,-39.43,H,5717,1,2025,315
2025-01-30,4000002,INCENTIVOS POR NO TENER STOCKS NEGATIVOS 12/2024 S,-39.43,-39.43,H,5717,1,2025,315
2025-01-31,4000002,INCENTIVO POR NO INTERPOSICION LITIGIOS 01/2025 SE,-11.83,-11.83,H,5717,1,2025,315
2025-01-28,4000002,INCENTIVOS POR TASA DE INTEGRACION 12/2024 SEC 22,-271.03,-271.03,H,5717,1,2025,315
2025-01-31,4000004,CANON DE ENSEÑA VARIABLE 01/2025 TDA 6201,2039.83,2039.83,H,5717,1,2025,315
2025-01-31,4000004,CANON USO ESTABLECIMIENTO 01/2025 TDA 6201,5099.91,5099.91,H,5717,1,2025,315
2025-01-02,4101100,Tarjeta Regalo (multisociedad)                    02/01/2025,9.5,9.5,D,5717,1,2025,315
2025-01-03,4101100,Tarjeta Regalo (multisociedad)                    03/01/2025,74.68,74.68,D,5717,1,2025,315
2025-01-04,4101100,Tarjeta Regalo (multisociedad)                    04/01/2025,18.81,18.81,D,5717,1,2025,315
2025-01-07,4101100,Tarjeta Regalo (multisociedad)                    07/01/2025,13.48,13.48,D,5717,1,2025,315
2025-01-08,4101100,Tarjeta Regalo (multisociedad)                    08/01/2025,6.27,6.27,D,5717,1,2025,315
2025-01-09,4101100,Tarjeta Regalo (multisociedad)                    09/01/2025,34.18,34.18,D,5717,1,2025,315
2025-01-10,4101100,Tarjeta Regalo (multisociedad)                    10/01/2025,20.03,20.03,D,5717,1,2025,315
2025-01-11,4101100,Tarjeta Regalo (multisociedad)                    11/01/2025,67.6,67.6,D,5717,1,2025,315
2025-01-16,4101100,Tarjeta Regalo (multisociedad)                    16/01/2025,58.54,58.54,D,5717,1,2025,315
2025-01-17,4101100,Tarjeta Regalo (multisociedad)                    17/01/2025,138.28,138.28,D,5717,1,2025,315
2025-01-18,4101100,Tarjeta Regalo (multisociedad)                    18/01/2025,181.14,181.14,D,5717,1,2025,315
2025-01-20,4101100,Tarjeta Regalo (multisociedad)                    20/01/2025,128.37,128.37,D,5717,1,2025,315
2025-01-21,4101100,Tarjeta Regalo (multisociedad)                    21/01/2025,162.8,162.8,D,5717,1,2025,315
2025-01-22,4101100,Tarjeta Regalo (multisociedad)                    22/01/2025,91.65,91.65,D,5717,1,2025,315
