FECAPU,CUEAPU,CONAPU,IMPAPU,IMEAPU,D-HAPU,DEPAPU,Mes,Año,Franquiciado
2025-01-31,2811000,AMORTIZACION CONSTRUCCIONES Y REFORMAS,441.67,441.67,H,5197,1,2025,249
2025-02-28,2811000,AMORTIZACION CONSTRUCCIONES Y REFORMAS,398.93,398.93,H,5197,1,2025,249
2025-03-31,2811000,AMORTIZACION CONSTRUCCIONES Y REFORMAS,441.67,441.67,H,5197,1,2025,249
2025-04-30,2811000,AMORTIZACION CONSTRUCCIONES Y REFORMAS,427.43,427.43,H,5197,1,2025,249
2025-05-31,2811000,AMORTIZACION CONSTRUCCIONES Y REFORMAS,441.67,441.67,H,5197,1,2025,249
2025-06-30,2811000,AMORTIZACION CONSTRUCCIONES Y REFORMAS,427.43,427.43,H,5197,1,2025,249
2025-07-31,2811000,AMORTIZACION CONSTRUCCIONES Y REFORMAS,441.67,441.67,H,5197,1,2025,249
2025-08-31,2811000,AMORTIZACION CONSTRUCCIONES Y REFORMAS,441.67,441.67,H,5197,1,2025,249
2025-09-30,2811000,AMORTIZACION CONSTRUCCIONES Y REFORMAS,427.43,427.43,H,5197,1,2025,249
2025-10-31,2811000,AMORTIZACION CONSTRUCCIONES Y REFORMAS,441.67,441.67,H,5197,1,2025,249
2025-11-30,2811000,AMORTIZACION CONSTRUCCIONES Y REFORMAS,427.43,427.43,H,5197,1,2025,249
2025-12-31,2811000,AMORTIZACION CONSTRUCCIONES Y REFORMAS,441.68,441.68,H,5197,1,2025,249
2025-01-31,2811000,AMORTIZACION TRABAJOS REALIZADOS REFORMAS,12.74,12.74,H,5197,1,2025,249
2025-02-28,2811000,AMORTIZACION TRABAJOS REALIZADOS REFORMAS,11.51,11.51,H,5197,1,2025,249
2025-03-31,2811000,AMORTIZACION TRABAJOS REALIZADOS REFORMAS,12.74,12.74,H,5197,1,2025,249
2025-04-30,2811000,AMORTIZACION TRABAJOS REALIZADOS REFORMAS,12.33,12.33,H,5197,1,2025,249
2025-05-31,2811000,AMORTIZACION TRABAJOS REALIZADOS REFORMAS,12.74,12.74,H,5197,1,2025,249
2025-06-30,2811000,AMORTIZACION TRABAJOS REALIZADOS REFORMAS,12.33,12.33,H,5197,1,2025,249
2025-07-31,2811000,AMORTIZACION TRABAJOS REALIZADOS REFORMAS,12.74,12.74,H,5197,1,2025,249
2025-08-31,2811000,AMORTIZACION TRABAJOS REALIZADOS REFORMAS,12.74,12.74,H,5197,1,2025,249
2025-09-30,2811000,AMORTIZACION TRABAJOS REALIZADOS REFORMAS,12.33,12.33,H,5197,1,2025,249
2025-10-31,2811000,AMORTIZACION TRABAJOS REALIZADOS REFORMAS,12.74,12.74,H,5197,1,2025,249
2025-11-30,2811000,AMORTIZACION TRABAJOS REALIZADOS REFORMAS,12.33,12.33,H,5197,1,2025,249
2025-12-31,2811000,AMORTIZACION TRABAJOS REALIZADOS REFORMAS,12.73,12.73,H,5197,1,2025,249
2025-01-31,2812000,AMORTIZACION EQUIPO DE FRIO,202.07,202.07,H,5197,1,2025,249
2025-02-28,2812000,AMORTIZACION EQUIPO DE FRIO,182.51,182.51,H,5197,1,2025,249
2025-03-31,2812000,AMORTIZACION EQUIPO DE FRIO,202.07,202.07,H,5197,1,2025,249
2025-04-30,2812000,AMORTIZACION EQUIPO DE FRIO,195.55,195.55,H,5197,1,2025,249
2025-05-31,2812000,AMORTIZACION EQUIPO DE FRIO,202.07,202.07,H,5197,1,2025,249
2025-06-30,2812000,AMORTIZACION EQUIPO DE FRIO,195.55,195.55,H,5197,1,2025,249
2025-07-31,2812000,AMORTIZACION EQUIPO DE FRIO,202.07,202.07,H,5197,1,2025,249
2025-08-31,2812000,AMORTIZACION EQUIPO DE FRIO,202.07,202.07,H,5197,1,2025,249
