FECAPU,CUEAPU,CONAPU,IMPAPU,IMEAPU,D-HAPU,DEPAPU,Mes,Año,Franquiciado
2025-01-31,2813000,AMORTIZACION HORNO Y ENSERES PANADERIA,24.0,23.84,H,5559,1,2025,287
2025-02-28,2813000,AMORTIZACION HORNO Y ENSERES PANADERIA,22.0,21.54,H,5559,1,2025,287
2025-03-31,2813000,AMORTIZACION HORNO Y ENSERES PANADERIA,24.0,23.84,H,5559,1,2025,287
2025-04-30,2813000,AMORTIZACION HORNO Y ENSERES PANADERIA,23.0,23.08,H,5559,1,2025,287
2025-05-31,2813000,AMORTIZACION HORNO Y ENSERES PANADERIA,24.0,23.84,H,5559,1,2025,287
2025-06-30,2813000,AMORTIZACION HORNO Y ENSERES PANADERIA,23.0,23.08,H,5559,1,2025,287
2025-07-31,2813000,AMORTIZACION HORNO Y ENSERES PANADERIA,24.0,23.84,H,5559,1,2025,287
2025-08-31,2813000,AMORTIZACION HORNO Y ENSERES PANADERIA,24.0,23.84,H,5559,1,2025,287
2025-09-30,2813000,AMORTIZACION HORNO Y ENSERES PANADERIA,23.0,23.08,H,5559,1,2025,287
2025-10-31,2813000,AMORTIZACION HORNO Y ENSERES PANADERIA,24.0,23.84,H,5559,1,2025,287
2025-11-30,2813000,AMORTIZACION HORNO Y ENSERES PANADERIA,23.0,23.08,H,5559,1,2025,287
2025-12-31,2813000,AMORTIZACION HORNO Y ENSERES PANADERIA,24.0,23.85,H,5559,1,2025,287
2025-01-31,2813000,AMORTIZACION BASCULA TIENDA,22.0,21.58,H,5559,1,2025,287
2025-02-28,2813000,AMORTIZACION BASCULA TIENDA,19.0,19.49,H,5559,1,2025,287
2025-03-31,2813000,AMORTIZACION BASCULA TIENDA,22.0,21.58,H,5559,1,2025,287
2025-04-30,2813000,AMORTIZACION BASCULA TIENDA,21.0,20.89,H,5559,1,2025,287
2025-05-31,2813000,AMORTIZACION BASCULA TIENDA,22.0,21.58,H,5559,1,2025,287
2025-06-30,2813000,AMORTIZACION BASCULA TIENDA,21.0,20.89,H,5559,1,2025,287
