FECAPU,CUEAPU,CONAPU,IMPAPU,IMEAPU,D-HAPU,DEPAPU,Mes,Año,Franquiciado
2025-01-31,4770000,HIPERBAZARES IBERIA SL VENTA MES 1,12618.23,12618.23,H,4843,1,2025,247
2025-01-31,4850001,HIPERBAZARES IBERIA SL VENTA MES 1,133408.35,133408.35,D,4843,1,2025,247
2025-01-31,4850002,HIPERBAZARES IBERIA SL VENTA MES 1,106.09,106.09,H,4843,1,2025,247
2025-01-05,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000517",2718.21,2718.21,D,4843,1,2025,247
2025-01-15,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002942",3082.72,3082.72,D,4843,1,2025,247
2025-01-15,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002943",1342.65,1342.65,D,4843,1,2025,247
2025-01-25,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005547",765.21,765.21,D,4843,1,2025,247
2025-01-25,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005548",2321.47,2321.47,D,4843,1,2025,247
2025-01-25,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005549",1295.38,1295.38,D,4843,1,2025,247
2025-01-31,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009246",853.38,853.38,D,4843,1,2025,247
2025-01-31,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009247",2193.04,2193.04,D,4843,1,2025,247
2025-01-05,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000517",1079.87,1079.87,D,4843,1,2025,247
2025-01-15,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002942",1652.15,1652.15,D,4843,1,2025,247
2025-01-15,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002943",494.69,494.69,D,4843,1,2025,247
2025-01-25,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005547",752.98,752.98,D,4843,1,2025,247
2025-01-25,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005548",1104.69,1104.69,D,4843,1,2025,247
2025-01-25,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005549",496.12,496.12,D,4843,1,2025,247
2025-01-31,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009246",596.58,596.58,D,4843,1,2025,247
2025-01-31,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009247",846.74,846.74,D,4843,1,2025,247
2025-01-05,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000517",3182.62,3182.62,D,4843,1,2025,247
2025-01-15,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002942",3846.27,3846.27,D,4843,1,2025,247
2025-01-15,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250002943",1303.31,1303.31,D,4843,1,2025,247
2025-01-25,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005547",1180.76,1180.76,D,4843,1,2025,247
2025-01-25,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005548",3161.79,3161.79,D,4843,1,2025,247
2025-01-25,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250005549",1776.76,1776.76,D,4843,1,2025,247
2025-01-31,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009246",1704.65,1704.65,D,4843,1,2025,247
