FECAPU,CUEAPU,CONAPU,IMPAPU,IMEAPU,D-HAPU,DEPAPU,Mes,Año,Franquiciado
2025-01-31,4770000,"2014 SUPERMERCADOS CABCAR, SL VENTA MES 1",14312.89,14312.89,H,8313,1,2025,211
2025-01-31,4850001,"2014 SUPERMERCADOS CABCAR, SL VENTA MES 1",138990.52,138990.52,D,8313,1,2025,211
2025-01-31,4850002,"2014 SUPERMERCADOS CABCAR, SL VENTA MES 1",216.35,216.35,H,8313,1,2025,211
2025-01-15,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001989",4250.04,4250.04,D,8313,1,2025,211
2025-01-15,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001990",2780.68,2780.68,D,8313,1,2025,211
2025-01-15,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001991",1284.48,1284.48,D,8313,1,2025,211
2025-01-31,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008319",1107.29,1107.29,D,8313,1,2025,211
2025-01-31,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008320",4545.4,4545.4,D,8313,1,2025,211
2025-01-31,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008321",3147.31,3147.31,D,8313,1,2025,211
2025-01-31,6000010,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008322",2035.99,2035.99,D,8313,1,2025,211
2025-01-15,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001989",944.93,944.93,D,8313,1,2025,211
2025-01-15,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001990",1035.63,1035.63,D,8313,1,2025,211
2025-01-15,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001991",1266.53,1266.53,D,8313,1,2025,211
2025-01-31,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008319",220.38,220.38,D,8313,1,2025,211
2025-01-31,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008320",1999.27,1999.27,D,8313,1,2025,211
2025-01-31,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008321",1458.63,1458.63,D,8313,1,2025,211
2025-01-31,6000011,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008322",670.74,670.74,D,8313,1,2025,211
2025-01-15,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001989",4235.09,4235.09,D,8313,1,2025,211
2025-01-15,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001990",2894.44,2894.44,D,8313,1,2025,211
2025-01-15,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001991",981.27,981.27,D,8313,1,2025,211
2025-01-31,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008319",1917.7,1917.7,D,8313,1,2025,211
2025-01-31,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008320",3115.98,3115.98,D,8313,1,2025,211
2025-01-31,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008321",3406.49,3406.49,D,8313,1,2025,211
2025-01-31,6000014,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008322",2970.12,2970.12,D,8313,1,2025,211
2025-01-15,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001989",2623.49,2623.49,D,8313,1,2025,211
2025-01-15,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001990",2981.19,2981.19,D,8313,1,2025,211
2025-01-15,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001991",1520.27,1520.27,D,8313,1,2025,211
2025-01-31,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008319",721.64,721.64,D,8313,1,2025,211
2025-01-31,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008320",5024.3,5024.3,D,8313,1,2025,211
2025-01-31,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008321",4499.37,4499.37,D,8313,1,2025,211
2025-01-31,6000015,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008322",3182.78,3182.78,D,8313,1,2025,211
2025-01-15,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001989",326.42,326.42,D,8313,1,2025,211
2025-01-15,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001990",544.9,544.9,D,8313,1,2025,211
2025-01-15,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001991",160.07,160.07,D,8313,1,2025,211
2025-01-31,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008319",121.88,121.88,D,8313,1,2025,211
2025-01-31,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008320",418.59,418.59,D,8313,1,2025,211
2025-01-31,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008321",1313.48,1313.48,D,8313,1,2025,211
2025-01-31,6000020,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008322",579.25,579.25,D,8313,1,2025,211
2025-01-15,6000021,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001990",69.79,69.79,D,8313,1,2025,211
2025-01-31,6000021,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008320",15.7,15.7,D,8313,1,2025,211
2025-01-31,6000021,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008321",45.87,45.87,D,8313,1,2025,211
2025-01-31,6000021,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008322",164.64,164.64,D,8313,1,2025,211
2025-01-15,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250000911",982.44,982.44,D,8313,1,2025,211
2025-01-15,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250000912",989.18,989.18,D,8313,1,2025,211
2025-01-15,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250000913",492.06,492.06,D,8313,1,2025,211
2025-01-31,6000022,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008319",83.82,83.82,D,8313,1,2025,211
2025-01-31,6000022,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008320",125.72,125.72,D,8313,1,2025,211
2025-01-31,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250003815",539.1,539.1,D,8313,1,2025,211
2025-01-31,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250003816",926.96,926.96,D,8313,1,2025,211
2025-01-31,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250003817",983.48,983.48,D,8313,1,2025,211
2025-01-31,6000022,"SOCIEDAD DE COMPRAS MODERNAS, SA:FU0965N250003818",747.39,747.39,D,8313,1,2025,211
2025-01-15,6000023,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001989",132.45,132.45,D,8313,1,2025,211
2025-01-15,6000023,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001990",255.64,255.64,D,8313,1,2025,211
2025-01-15,6000023,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001991",107.78,107.78,D,8313,1,2025,211
2025-01-31,6000023,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008319",159.33,159.33,D,8313,1,2025,211
2025-01-31,6000023,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008320",121.99,121.99,D,8313,1,2025,211
2025-01-31,6000023,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250008321",252.21,252.21,D,8313,1,2025,211
