FECAPU,CUEAPU,CONAPU,IMPAPU,IMEAPU,D-HAPU,DEPAPU,Mes,Año,Franquiciado
2025-01-10,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250001035",20657.38,20657.38,H,5302,1,2025,280
2025-01-05,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000705",24909.92,24909.92,H,5302,1,2025,280
2025-01-05,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250000706",-1.96,-1.96,H,5302,1,2025,280
2025-01-15,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250003470",28400.23,28400.23,H,5302,1,2025,280
2025-01-20,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004099",3568.0,3568.0,H,5302,1,2025,280
2025-01-20,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250004100",19539.46,19539.46,H,5302,1,2025,280
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006030",6791.19,6791.19,H,5302,1,2025,280
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006031",5652.2,5652.2,H,5302,1,2025,280
2025-01-25,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250006032",-9.55,-9.55,H,5302,1,2025,280
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009761",12675.64,12675.64,H,5302,1,2025,280
2025-01-31,4000001,"CENTROS COMERCIALES CARREFOUR, SA:FU0961N250009762",19544.52,19544.52,H,5302,1,2025,280
2025-01-28,4000001,INCENTIVOS POR TASA DE INTEGRACION 12/2024 SEC 11,-2162.83,-2162.83,H,5302,1,2025,280
2025-01-29,4000001,RAPPEL MENSUAL 12/2024 SEC 10 TDA 5644 IVA REDUCID,-573.8,-573.8,H,5302,1,2025,280
2025-01-31,4000001,CANON LOGISTICO 01/2025 TDA 5644,4830.45,4830.45,H,5302,1,2025,280
2025-01-31,4000001,CANON CLUB CARREFOUR 01/2025 TDA 5644,181.5,181.5,H,5302,1,2025,280
2025-01-03,4000001,CENTROS COMERCIALES  S. FRA:  0103000070,-2652.25,-2652.25,H,5302,1,2025,280
2025-01-29,4000001,RAPPEL MENSUAL 12/2024 SEC 10 TDA 5644 IVA GENERAL,-1620.79,-1620.79,H,5302,1,2025,280
